Feature,RBAC / Account Management
Test requirement,Functional integration tests for RBAC / Account Management (AdminController)
Number of TCs,18
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,18,0
Round 2,0,0,18,0
Round 3,0,0,18,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Dashboard Stats,,,,,,,,,,,,,,,,
RBAC_IT01,"View dashboard stats as ADMINISTRATOR succeeds","1. GET /api/admin/dashboard/stats header Authorization: Bearer <adminToken>.","200 OK; body has totalUsers, totalRoles, totalCourses, totalEnrollments, weeklyLabels[], weeklyValues[], topCourses[].","Logged in as ADMINISTRATOR.","No.",N,Pending,,,Pending,,,Pending,,,
RBAC_IT02,"Dashboard stats is rejected for a non-Administrator role","1. GET /api/admin/dashboard/stats with a LEARNER or TRAINER token. 2. 🔍 Network tab → confirm status 403.","403 Forbidden.","Logged in as LEARNER (or TRAINER).","Yes — confirm 403 in Network tab.",A,Pending,,,Pending,,,Pending,,,
View Account List,,,,,,,,,,,,,,,,
RBAC_IT03,"View account list with default staff filter","1. GET /api/admin/users header adminToken (no query params).","200 OK; paged {content[], totalElements, totalPages, page, size} — content limited to staff-type roles (default roleType).","At least one staff account exists.","No.",N,Pending,,,Pending,,,Pending,,,
RBAC_IT04,"View account list filtered by roleType=learner and search text","1. GET /api/admin/users?roleType=learner&search=<partial name>&page=0&size=10.","200 OK; content contains only LEARNER-role users matching the search text.","At least one matching Learner exists.","No.",N,Pending,,,Pending,,,Pending,,,
View Account Detail,,,,,,,,,,,,,,,,
RBAC_IT05,"View account detail for an existing user succeeds","1. GET /api/admin/users/{existingId}.","200 OK; UserResponse for that user.","A known user id exists.","No.",N,Pending,,,Pending,,,Pending,,,
RBAC_IT06,"View account detail for a non-existent id returns 404 (regression check)","1. GET /api/admin/users/999999999 (id that does not exist).","404 Not Found — confirms the previously-fixed bug (generic catch used to swallow this into a 400) stays fixed.","None.","No.",A,Pending,,,Pending,,,Pending,,,"Regression test for a fix already applied per unit_test_plan.md row 20 — Fail this case if a 400 is seen instead of 404."
Create Account,,,,,,,,,,,,,,,,
RBAC_IT07,"Create account with valid data and a whitelisted role succeeds","1. POST /api/admin/users body {""email"":""staff1@example.com"",""password"":""pass1234"",""fullName"":""Staff One"",""role"":""TRAINER""}.","200 OK; UserResponse with roles=[""TRAINER""]; an AuditLog row is written (verify via RBAC_IT15).","email not already registered.","No.",N,Pending,,,Pending,,,Pending,,,
RBAC_IT08,"Create account with a non-whitelisted/typo role is rejected (regression check)","1. POST /api/admin/users body includes ""role"":""typo123"".","400 Bad Request; no user row and no garbage Role row created.","email not already registered.","No.",A,Pending,,,Pending,,,Pending,,,"Regression test — previously silently created a garbage Role row on a typo (unit_test_plan.md row 21). Now whitelisted to LEARNER/TRAINER/TRAINER_LEAD/ADMINISTRATOR."
Update Account,,,,,,,,,,,,,,,,
RBAC_IT09,"Update account with valid field changes succeeds and writes an audit log entry","1. PUT /api/admin/users/{id} body {""fullName"":""Renamed""}. 2. GET /api/admin/audit-log to confirm a new row.","200 OK; UserResponse re-fetched with fullName updated; a new AuditLog row appears for this action.","Target user exists.","No.",N,Pending,,,Pending,,,Pending,,,
RBAC_IT10,"Update account is rejected when an Administrator tries to change their OWN status (self-lock, priority regression)","1. Log in as Admin X. 2. PUT /api/admin/users/{Admin X's own id} body {""status"":""INACTIVE""}.","400 Bad Request — self-lock guard blocks an admin from locking their own account via this endpoint.","Logged in as an ADMINISTRATOR, using their own id.","No.",A,Pending,,,Pending,,,Pending,,,"This was the MOST SERIOUS confirmed bug in the whole RBAC audit (unit_test_plan.md row 22) — updateUserByAdmin previously had ZERO self-lock/whitelist checks. This test case exists specifically to guard the fix; treat any Passed→200 result as a critical regression."
RBAC_IT11,"Update account with a non-whitelisted status value is rejected","1. PUT /api/admin/users/{id} body {""status"":""BANNED""} (not ACTIVE/INACTIVE).","400 Bad Request; status not persisted.","Target user exists, acting admin ≠ target.","No.",A,Pending,,,Pending,,,Pending,,,"Same regression family as RBAC_IT10 — shares the whitelist with updateUserStatus."
