Workflow,Account- Role & Access Administration Flow
Test requirement,Verify the complete end-to-end Administrator journey through the actual UI: dashboard stats accuracy, account search/detail, account creation with role whitelisting, activate/deactivate and self-lock protection, the Update Account status/role whitelist guards, the Audit Log's real scope, AI Usage stats, and the Administrator-only access boundary.
Number of TCs,16
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,16,0
Round 2,0,0,16,0
Round 3,0,0,16,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Dashboard,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC01,"Admin views Dashboard stats and the figures are real, not fabricated.","1. Log in as ADMINISTRATOR. 2. Open Admin Dashboard. 3. Cross-check totalUsers/totalRoles/totalCourses/totalEnrollments and the Top 5 Courses list against known recent test data (e.g. courses/enrollments created in SYS_FLOW_ENR).","All figures reflect actual current data (in-memory Java aggregation + a native Top-Courses query), matching what was independently observed in other flows; nothing is a placeholder/mock value.","Admin logged in; recent enrollments/courses exist from earlier flows.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_ADM_TC02,"A week with zero real registrations shows a genuine zero on the weekly registration chart, not a fabricated positive number.","1. Identify (or wait for) a 7-day window with no real new signups. 2. Open the Dashboard's weekly registration chart for that window.","The chart shows 0 for that week - it must not synthesize a fake positive count (previously `totalUsers / 7`-based fabrication, fixed 2026-07-22).","A week with zero real registrations exists or can be observed.",Pending,,,Pending,,,Pending,,,"Regression check for the fabricated-dashboard-data bug documented in doc/specs/03-rbac.md Edge Cases."
Account List / Detail,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC03,"Admin searches and filters the account list by role type and free text.","1. Open Admin > Accounts. 2. Filter by roleType=trainer. 3. Enter a search term matching a known user's name/email.","The list narrows to only TRAINER accounts, then further to rows matching the search term; pagination controls reflect the filtered result count.","Multiple accounts with different roles exist.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_ADM_TC04,"Requesting a non-existent account's detail returns a proper not-found state, not a generic bad-request error.","1. Open Admin > Accounts. 2. Navigate to a user detail using an ID that does not exist (e.g. a very large/deleted ID).","The UI shows a clear ""user not found"" state; the underlying API returns 404 Not Found (not 400 Bad Request).","No account exists with the chosen ID.",Pending,,,Pending,,,Pending,,,"Regression check - `GET /api/admin/users/{id}` was fixed 2026-07-22 to return 404 instead of 400 for a missing user."
Create Account,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC05,"Admin creates a new account directly with a whitelisted role, and it is immediately usable.","1. Open Admin > Accounts > Create Account. 2. Fill in email/name/password and select role=TRAINER_LEAD. 3. Save. 4. Log out and log in as the new account.","The account is created with role TRAINER_LEAD; login with the set credentials succeeds and lands on the Course Manager dashboard.","Admin logged in; a fresh email available.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_ADM_TC06,"Admin attempts to create an account with an invalid/typo role string and it is rejected.","1. On Create Account, attempt to submit a role value that isn't LEARNER/TRAINER/TRAINER_LEAD/ADMINISTRATOR (e.g. via a manipulated request if the UI dropdown itself prevents typing free text).","Creation is rejected (`IllegalArgumentException`-backed error); no account is created and no garbage `Role` row is added to the `roles` table for the typo'd value.","Admin logged in.",Pending,,,Pending,,,Pending,,,"Regression check - role whitelist fixed 2026-07-22; previously any non-empty string silently created a new Role row."
Update Account & Status,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC07,"Admin deactivates then reactivates a user account, and the login effect matches immediately.","1. Open a test user's detail. 2. Toggle status to INACTIVE and save. 3. Attempt login as that user (expect blocked, cross-ref SYS_FLOW_AUTH_TC08). 4. Toggle status back to ACTIVE and retry login.","While INACTIVE, login is blocked; once reactivated to ACTIVE, login succeeds again immediately.","A non-admin test account exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_ADM_TC08,"Admin cannot deactivate their own account via the dedicated status endpoint.","1. Log in as ADMINISTRATOR. 2. Open your own account detail. 3. Attempt to set your own status to INACTIVE and save.","The action is rejected with a self-lock protection message; the Admin's own status remains ACTIVE and they stay logged in.","Logged in as the Administrator whose own account is being targeted.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_ADM_TC09,"Admin cannot deactivate their own account via the combined Update Account screen either.","1. Open your own account detail's full ""Update Account"" edit form (not just the quick status toggle). 2. Change the status field to INACTIVE as part of a broader edit and save.","The same self-lock protection blocks this path too; the Admin's own status stays ACTIVE.","Logged in as the Administrator whose own account is being targeted.",Pending,,,Pending,,,Pending,,,"Regression check - `PUT /api/admin/users/{id}` previously lacked this check entirely (fixed 2026-07-22), unlike `PUT /api/admin/users/{id}/status` which always had it."
SYS_FLOW_ADM_TC10,"Setting a user's status to an arbitrary non-whitelisted string via Update Account is rejected.","1. Open a test user's Update Account form. 2. Attempt to set status to a value outside ACTIVE/INACTIVE (e.g. ""BANNED"") and save.","The save is rejected by the same status whitelist enforced on the dedicated status endpoint; the user's actual stored status is unchanged.","A test user account exists.",Pending,,,Pending,,,Pending,,,"Regression check - `PUT /api/admin/users/{id}` previously called `setStatus(...)` with zero validation, bypassing both the whitelist and the self-lock check (fixed 2026-07-22)."
SYS_FLOW_ADM_TC11,"Updating a user's role to an unknown role string via Update Account is rejected.","1. Open a test user's Update Account form. 2. Attempt to set role to a string that is not an existing Role (e.g. ""SUPERADMIN"") and save.","The save is rejected with a ""Role not found"" style error; the user's existing role is unchanged.","A test user account exists.",Pending,,,Pending,,,Pending,,,"Note the intentional asymmetry vs Create Account (TC06): update rejects unknown roles as 'not found' since every valid role already exists as a row, while create explains the whitelist instead."
Audit Log,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC12,"The Audit Log records the account actions just performed by this Admin.","1. Immediately after TC05/TC07, open Admin > Audit Log.","Entries appear for the account-creation (TC05) and status-change (TC07) actions, showing who performed them, on which user, and when.","TC05 and TC07 were just performed.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_ADM_TC13,"The Audit Log does not record actions taken outside AdminController's scope.","1. Have a Course Manager publish/reject a course (SYS_FLOW_CRS_TC15/16) and settle a statement (SYS_FLOW_REV_TC10). 2. Reopen the Audit Log.","Neither the course review action nor the statement settlement appears in this Audit Log - it is scoped strictly to create/update-profile/role/status/activate-deactivate actions taken through AdminController, by design.","A Course review action and a statement settlement have just occurred elsewhere.",Pending,,,Pending,,,Pending,,,"Confirms the documented scope limitation in doc/specs/03-rbac.md - not a bug to report, just verify it matches."
AI Usage Stats,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC14,"AI Usage stats reflect real call activity, increasing after Learner AI Assistant/Recommendation usage.","1. Note the Total AI Calls figure. 2. Have a Learner send several AI Assistant chat messages (SYS_FLOW_AIR_TC01-TC05). 3. Reopen AI Usage stats.","Total AI Calls increases by the number of new calls made; the chat-vs-embedding split and success rate update accordingly.","Admin logged in; ability to compare before/after AI Usage figures.",Pending,,,Pending,,,Pending,,,"Cross-reference SYS_FLOW_AIR_TC09."
Access Boundary,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC15,"A non-Administrator cannot reach any /api/admin/** screen or action.","1. Log in as TRAINER_LEAD (or TRAINER/LEARNER). 2. Attempt to navigate to Admin Dashboard/Accounts/Audit Log/AI Usage directly.","Navigation is blocked/hidden for non-ADMINISTRATOR roles; any direct API call returns 403 Forbidden (`@PreAuthorize(\"hasRole('ADMINISTRATOR')\")` on every AdminController endpoint) - note that the required authority is the literal string ADMINISTRATOR, not ADMIN.","A non-Administrator account logged in.",Pending,,,Pending,,,Pending,,,
Roles Reference Tab,,,,,,,,,,,,,,,
SYS_FLOW_ADM_TC16,"The static Roles tab's descriptions match what each role can actually do in the running system.","1. Open Admin > Roles tab. 2. Read the LEARNER/TRAINER/TRAINER_LEAD/ADMINISTRATOR cards. 3. Spot-check at least one claim per role against actual observed behavior from other flows (e.g. TRAINER_LEAD can publish courses per SYS_FLOW_CRS, but cannot see revenue on the Admin dashboard per SYS_FLOW_REV_TC13).","Every spot-checked claim on the Roles tab matches real enforced behavior seen elsewhere in this test plan - none of it is aspirational/marketing copy no longer true of the code.","Admin logged in; results from SYS_FLOW_CRS/SYS_FLOW_REV available for comparison.",Pending,,,Pending,,,Pending,,,
