Module	Class	Method	UTCID	Test Case (test method name)	Precondition	Input	Expected Result	Exception	Case Type (N/A/B)	Status	Exec Date	Defect ID	Created By	Executed By
Question Bank	TrainerQuestionServiceImpl	getTrainerQuestions	UTC01	getTrainerQuestionsShouldThrowWhenUserNotFound	no User row	email='unknown@example.com'	Error	RuntimeException: 'User not found with email: ...'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getTrainerQuestions	UTC02	getTrainerQuestionsShouldMapResultSetRowsToQuestionDTO	captured RowMapper invoked manually against a stubbed ResultSet row (is_group=true, item_id=42, status='PUBLIC')	—	QuestionDTO{id=42, isGroup=true, categoryName='Reading', status='PUBLIC', difficultyName=null}	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getTrainerQuestions	UTC03	getTrainerQuestionsShouldNotApplyStatusFilterWhenTypeIsAll	—	type='ALL'	generated SQL does NOT contain 'AND q.status = ?'	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getTrainerQuestions	UTC04	getTrainerQuestionsShouldApplyStatusFilterForOtherTypeValues	—	type='PUBLIC'	generated SQL contains 'AND q.status = ?' (both group and single sub-queries)	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getTrainerQuestions	UTC05	getTrainerQuestionsShouldOrderByUpdatedAtAscWhenSortByOldest	—	sortBy='OLDEST'	generated SQL ends with 'ORDER BY updated_at ASC'	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getTrainerQuestions	UTC06	getTrainerQuestionsShouldDefaultToDescendingOrderWhenSortByNull	—	sortBy=null	generated SQL ends with 'ORDER BY updated_at DESC' (default)	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getTrainerQuestions	UTC07	getTrainerQuestionsShouldAddSearchConditionWhenSearchProvided	—	search='grammar'	generated SQL contains 'q.question_text LIKE ?' and 'qg.context_text LIKE ?'	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC01	createQuestionBankGroupShouldThrowWhenUserNotFound	no User row	email='unknown@example.com'	Error	RuntimeException: 'User not found with email: ...'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC02	createQuestionBankGroupShouldCreateGroupWhenPassageTextProvided	category/skill/difficulty/groupType(id=17) params all found	passageText='Reading passage', 1 subQuestion	question_groups row inserted; response.groupId=500	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC03	createQuestionBankGroupShouldNotCreateGroupWhenPassageTextBlank	—	passageText='   ' (blank)	no question_groups row inserted; response.groupId=null (single-question mode)	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC04	createQuestionBankGroupShouldDefaultStatusToPrivateWhenNotProvided	request.status=null	—	questions row inserted: status='PRIVATE'	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC05	createQuestionBankGroupShouldUseSubQuestionDifficultyOverrideWhenProvided	subQuestion.difficultyId=99 overrides group-level difficultyId=3	—	questions row inserted with difficulty=99 (per-subQuestion override wins over group default)	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC06	createQuestionBankGroupShouldUseSubQuestionSkillParamOverrideWhenProvided	subQuestion.skillParamId=88 overrides group-level skillParamId=2	—	questions row inserted with skillParam=88 (per-subQuestion override wins over group default, same pattern as the difficulty override)	None	B	Passed	2026-07-24		DucPM	DucPM
