Workflow,Cross-Module Notification Delivery & Read-Tracking Flow
Test requirement,Verify the complete end-to-end notification journey through the actual UI: every implemented trigger actually surfaces the right notification to the right recipient, the polling-based Bell/inbox UI behaves correctly (unread count, mark-read, mark-all-read), ownership/role-broadcast read-state boundaries, and the dangling-linked-resource and Course-Manager-only inbox edge cases.
Number of TCs,14
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,14,0
Round 2,0,0,14,0
Round 3,0,0,14,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Trigger Verification,,,,,,,,,,,,,,,
SYS_FLOW_NTF_TC01,"A PurchaseSuccess notification appears in the Learner's bell right after a successful PayOS payment.","1. Complete a successful course purchase (SYS_FLOW_ENR_TC11). 2. Open the Learner's notification bell.","A PurchaseSuccess notification is present, referencing the purchased course(s).","A successful payment just completed for this Learner.",Pending,,,Pending,,,Pending,,,"Cross-reference SYS_FLOW_ENR_TC17."
SYS_FLOW_NTF_TC02,"A NewEnrollment notification appears in the course-owning Trainer's bell for both paid and free enrollments.","1. Have a Learner enroll in a Trainer's free course (SYS_FLOW_ENR_TC03) and, separately, purchase a paid course from the same or another Trainer. 2. Open each Trainer's notification bell.","Each Trainer sees a NewEnrollment notification for their respective course, fired from both the free-enroll path (`CourseServiceImpl.enrollCourse`) and the paid webhook path (`PaymentServiceImpl.handlePayOSWebhook`).","A free enrollment and a paid enrollment have both just occurred.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_NTF_TC03,"A CommentReply notification appears in the original comment author's bell after someone replies.","1. Have Learner B reply to Learner A's comment (SYS_FLOW_CMT_TC07). 2. Open Learner A's notification bell.","Learner A has a CommentReply notification referencing the Lesson/comment thread.","A reply to Learner A's comment was just posted.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_NTF_TC04,"ContentApproved and ContentRejected notifications appear in the Trainer's bell after Course Manager review decisions.","1. Have a Course Manager approve one of a Trainer's Courses/Exams and reject another (SYS_FLOW_CRS_TC15/16, SYS_FLOW_EXM_TC07/08). 2. Open that Trainer's notification bell.","One ContentApproved and one ContentRejected notification are present, each identifying the relevant Course/Exam.","Both an approval and a rejection have just occurred for this Trainer's content.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_NTF_TC05,"A CourseUpdated notification reaches every Learner enrolled in a prior course version when a new version publishes.","1. With 2+ Learners enrolled in a course's live version, have the Trainer edit and the Course Manager publish a new version (SYS_FLOW_CRS_TC21-22). 2. Open each enrolled Learner's notification bell.","Every Learner who was enrolled in the prior version has a CourseUpdated notification; a Learner never enrolled in this course has none.","A new course version has just been published over an existing enrolled base.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_NTF_TC06,"A StatementReady notification appears in the Trainer's bell when their Monthly Statement is generated.","1. Have a Course Manager generate the monthly statement cutoff covering this Trainer (SYS_FLOW_REV flow). 2. Open the Trainer's notification bell.","A StatementReady notification is present, referencing the generated statement period/amount.","A monthly statement has just been generated for this Trainer.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_NTF_TC07,"A LOW_RATING/LOW_AVERAGE_RATING notification broadcasts to every TRAINER_LEAD account, not just one.","1. Trigger a low course rating event (e.g. a Learner leaves a 1-star review dragging the average below the threshold, SYS_FLOW_ENR_TC21). 2. Log in as two different TRAINER_LEAD accounts and check each one's bell.","Both TRAINER_LEAD accounts see the LOW_RATING/LOW_AVERAGE_RATING notification (role-broadcast, not per-user targeted).","At least 2 TRAINER_LEAD accounts exist; a low-rating event has just occurred.",Pending,,,Pending,,,Pending,,,
Bell / Inbox UI Behavior,,,,,,,,,,,,,,,
SYS_FLOW_NTF_TC08,"The unread badge count matches the real number of unread notifications and decreases as items are read.","1. Note the unread badge count on the Bell icon. 2. Open the dropdown and click one unread notification. 3. Recheck the badge.","The badge count before matches the number of currently-unread notifications; after reading one, the badge decreases by exactly 1.","At least 2 unread notifications exist for the logged-in user.",Pending,,,Pending,,,Pending,,,
