Workflow,Course Authoring- Content Building & Publishing Flow
Test requirement,Verify the complete end-to-end course lifecycle through the actual UI: Trainer creates a Draft course, builds Section/Lesson/LessonBlock/Quiz content (manually and via Excel import), submits for review, Course Manager review/publish/reject (both existing review paths), public catalog visibility, and editing-a-Published-course versioning.
Number of TCs,24
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,24,0
Round 2,0,0,24,0
Round 3,0,0,24,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Create & Edit Draft Course,,,,,,,,,,,,,,,
SYS_FLOW_CRS_TC01,"Trainer creates a new Draft course with metadata, accepting the suggested price tier.","1. Log in as a VERIFIED Trainer. 2. Open Trainer Dashboard > Create Course. 3. Enter title, description, upload a thumbnail, select up to 3 SkillTypes. 4. Leave the pre-filled suggested price (300k/500k/700k VND tier) as-is. 5. Save.","The course is created with status=Draft; the thumbnail uploads to Cloudinary and its secure URL is stored; the pre-filled price tier is saved as entered.","Trainer role, VERIFIED profile.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC02,"Trainer cannot select more than 3 SkillTypes for a course.","1. On the Create/Edit Course form, attempt to select a 4th SkillType after already selecting 3.","The 4th selection is blocked in the UI (checkbox/limit reached), and if bypassed, the server rejects the save with a validation error enforcing the max-3 cap (BR-CRS-04).","A Draft course with 3 SkillTypes already selected.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC03,"Trainer edits a Draft course's metadata and overrides the suggested price.","1. Open an existing Draft course. 2. Change the description and set a custom price different from the suggested tier. 3. Save.","Changes persist; the custom price is accepted as entered (Trainer always has final say on price per FR-CRS-06), status remains Draft.","A Draft course owned by the Trainer exists.",Pending,,,Pending,,,Pending,,,
Build Content - Sections & Lessons,,,,,,,,,,,,,,,
SYS_FLOW_CRS_TC04,"Trainer adds multiple Sections to a Draft course and reorders them via drag-and-drop.","1. Open the Draft course's syllabus editor. 2. Add 3 Sections with titles. 3. Drag to reorder them (e.g. move the 3rd Section to position 1).","All 3 Sections are created; after reordering, the new order_index is persisted and survives a page reload in the new order.","Draft course exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC05,"Trainer adds Lessons within a Section and reorders them.","1. Open a Section. 2. Add 2-3 Lessons with titles. 3. Drag to reorder the Lessons within that Section.","Lessons are created under the correct Section; reordering persists the new order_index and survives reload.","A Section exists within a Draft course.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC06,"Trainer authors Lesson content using LessonBlocks (Text plus an inserted Video/PDF/Image block).","1. Open a Lesson's editor. 2. Add a Text block with content. 3. Add a Video block and pick a file to upload; observe the progress bar. 4. Save the Lesson.","The Text block saves as entered; the Video block shows an ""Uploading"" state immediately then completes asynchronously, after which the Lesson references the Cloudinary URL; block order is preserved as authored.","A Lesson exists within a Draft course.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC07,"A LessonBlock media upload survives a dropped connection using the Retry option.","1. Start uploading a Video/PDF block to a Lesson. 2. Simulate a network interruption mid-upload (e.g. toggle airplane mode). 3. Restore connectivity and tap Retry.","The already-entered Lesson content (Text blocks, metadata) is not lost during the interruption; Retry successfully completes the media upload without requiring the Trainer to redo the whole Lesson.","A Lesson editor session is open with at least one Text block already entered.",Pending,,,Pending,,,Pending,,,
Quiz Builder,,,,,,,,,,,,,,,
SYS_FLOW_CRS_TC08,"Trainer attaches a Quiz to a Lesson using questions picked from their own Question Bank.","1. Open a Lesson. 2. Tap ""Add Quiz"". 3. Pick several existing SingleChoice questions from the Trainer's Question Bank. 4. Save.","The Quiz is created and linked to the Lesson with the selected question IDs; reopening the Lesson shows the same Quiz questions attached (Quiz questions remain reusable elsewhere, unlike Exam questions).","Trainer has at least 3 questions already in their Question Bank; a Lesson exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC09,"Submitting a course with no Section/Lesson content at all is blocked.","1. Create a brand-new Draft course with only metadata filled in, no Sections/Lessons added. 2. Attempt ""Submit for Review"".","Submission is blocked with a validation message requiring at least one Section and one Lesson (FR-CRS-09) before review can start.","A Draft course exists with an empty syllabus.",Pending,,,Pending,,,Pending,,,
Excel Bulk Import,,,,,,,,,,,,,,,
SYS_FLOW_CRS_TC10,"Trainer bulk-imports Sections/Lessons/Quiz content via the Excel template.","1. Download the Course Import template (`Hango_Course_Import_Template.xlsx`). 2. Fill in a few valid rows of Sections/Lessons. 3. Upload via ""Import from Excel"" on a Draft course.","The import succeeds inside a single transaction; the resulting Sections/Lessons appear in the syllabus editor matching the uploaded rows; a success report is shown.","A Draft course exists; a filled copy of the template is ready.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC11,"Importing an Excel file with a row missing a required field surfaces a per-row error report.","1. Prepare a copy of the template with one row missing a required field (e.g. empty Lesson title). 2. Upload it via Import.","A per-row success/error report is shown identifying the bad row; document whether the whole import rolls back or only the bad row is skipped (Trainer's choice / documented default) and confirm it matches actual behavior.","A Draft course exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC12,"Importing an Excel file whose Quiz row references a non-existent Question Bank question ID is reported, not silently dropped.","1. Prepare a copy of the template with a Quiz row pointing at a question ID that does not exist in the Trainer's bank. 2. Upload it via Import.","The import report flags that specific row/question reference as invalid; the Lesson/Section rows around it are handled per the same rollback-or-skip policy verified in TC11.","A Draft course exists.",Pending,,,Pending,,,Pending,,,
Submit for Review,,,,,,,,,,,,,,,
SYS_FLOW_CRS_TC13,"Trainer submits a fully-built Draft course for Course Manager review.","1. Ensure the course has at least one Section and Lesson (from TC04-TC10). 2. Tap ""Submit for Review"".","Status changes from Draft to Submitted; the course appears in the Course Manager's review queue; the Submit button becomes disabled/hidden for this course going forward.","A Draft course with at least one Section and Lesson.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CRS_TC14,"Rapidly tapping Submit multiple times does not create duplicate submissions.","1. On a valid Draft course, tap ""Submit for Review"" and immediately tap it again 2-3 times before the first request returns.","The button disables itself during the in-flight request; only a single status transition to Submitted occurs; no duplicate review-queue entries are created.","A Draft course ready to submit.",Pending,,,Pending,,,Pending,,,
Course Manager Review - Trainer-Dashboard Path,,,,,,,,,,,,,,,
