Feature,Authentication
Test requirement,Functional integration tests for Authentication (AuthController)
Number of TCs,26
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,26,0
Round 2,0,0,26,0
Round 3,0,0,26,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Login,,,,,,,,,,,,,,,,
AUTH_IT01,"Login with valid credentials succeeds","1. POST /api/auth/login body {""email"":""active@example.com"",""password"":""correct-pass""}. 2. 🔍 F12 → Network tab (or Postman Console) → open the request → Headers tab: confirm the response has NO Set-Cookie header (no refresh-token cookie exists) → Response tab: confirm 200 and a token field.","200 OK; JSON body contains token (JWT string) and roles[]; no Set-Cookie header anywhere.","Account exists, status=ACTIVE, password known.","Yes — confirm in Headers tab that no Set-Cookie is returned (GAP-AUTH-03: no refresh token implemented).",N,Pending,,,Pending,,,Pending,,,
AUTH_IT02,"Login with wrong password is rejected","1. POST /api/auth/login with correct email, password=""wrong-password"".","400 Bad Request; body ""Error: Bad credentials"" (plain string, not JSON).","Account exists, status=ACTIVE.","No — response body is sufficient.",A,Pending,,,Pending,,,Pending,,,
AUTH_IT03,"Login with INACTIVE account is rejected","1. POST /api/auth/login with credentials of a user whose status=INACTIVE.","400 Bad Request; body contains ""deactivated"" message; no token issued.","Account exists with status=INACTIVE.","No.",A,Pending,,,Pending,,,Pending,,,
AUTH_IT04,"Login with non-existent email is rejected","1. POST /api/auth/login with an email that has no matching user row.","400 Bad Request; generic authentication error, no token.","None — any unused email works.","No.",A,Pending,,,Pending,,,Pending,,,
AUTH_IT05,"Login with missing password field is rejected","1. POST /api/auth/login body {""email"":""active@example.com""} (no password key). 2. 🔍 Network tab → Response tab: confirm exact status code (Spring @Valid may return 400 with a validation-error body, not the same shape as AUTH_IT02's plain string).","400 Bad Request (validation error); no token issued.","None.","Yes — confirm the response body SHAPE differs from AUTH_IT02 (validation JSON vs plain string) so testers don't conflate the two error paths.",B,Pending,,,Pending,,,Pending,,,
Register,,,,,,,,,,,,,,,,
AUTH_IT06,"Register a new Learner account succeeds","1. POST /api/auth/register body {""email"":""new@example.com"",""password"":""pass1234"",""fullName"":""New User""} (no role field).","200 OK; UserResponse with roles=[""LEARNER""]; a verification email is dispatched (check inbox/mail-catcher if configured).","email not already registered.","No.",N,Pending,,,Pending,,,Pending,,,
AUTH_IT07,"Register with an already-registered email is rejected","1. POST /api/auth/register with an email that already has a user row.","400 Bad Request; ""Error: Email is already in use!""; no new row created.","Target email already registered.","No.",A,Pending,,,Pending,,,Pending,,,
AUTH_IT08,"Register with role=ADMINISTRATOR is rejected (role whitelist)","1. POST /api/auth/register body includes ""role"":""ADMINISTRATOR"".","400 Bad Request; ""Error: Invalid registration role!""; no account created.","email not registered.","No.",A,Pending,,,Pending,,,Pending,,,
AUTH_IT09,"Self-registration with role=TRAINER succeeds (documented behavior, not a bypass)","1. POST /api/auth/register body includes ""role"":""TRAINER"". 2. Log in as the new account and call GET /api/v1/trainers/profile.","200 OK on register; roles=[""TRAINER""]. Step 2: TrainerProfileDTO is JIT-created with status=PENDING_VERIFICATION — dashboard access is immediate, but publishing/monetization stays gated separately.","email not registered.","No.",B,Pending,,,Pending,,,Pending,,,"Confirms GAP-AUTH-04 as documented in unit_test_plan.md — early Trainer/dashboard access is intentional, not an approval bypass for revenue."
AUTH_IT10,"Register with password shorter than 8 chars is rejected","1. POST /api/auth/register body {""email"":""short@example.com"",""password"":""abc""}.","400 Bad Request (bean validation, min length 8); no account created.","email not registered.","No.",B,Pending,,,Pending,,,Pending,,,
Google Login,,,,,,,,,,,,,,,,
AUTH_IT11,"Google login with a valid ID token JIT-provisions a new Learner","1. POST /api/auth/google body {""idToken"":""<valid Google ID token>""} for an email with no existing User row.","200 OK; token returned; a new users row is created isVerified=true, status=ACTIVE, role=LEARNER.","A real or test Google OAuth2 client configured; valid Google-issued ID token for a fresh email.","No.",N,Pending,,,Pending,,,Pending,,,"Requires real Google OAuth2 setup to obtain a valid idToken — cannot be faked via Postman alone."
AUTH_IT12,"Google login with a malformed/invalid token is rejected","1. POST /api/auth/google body {""idToken"":""not-a-real-jwt""}.","400 Bad Request; ""Google authentication failed: ...""; no token issued, no row created.","None.","No.",A,Pending,,,Pending,,,Pending,,,
Forgot Password,,,,,,,,,,,,,,,,
AUTH_IT13,"Forgot password for a registered email queues a 6-digit OTP","1. POST /api/auth/forgot-password body {""email"":""known@example.com""}. 2. Check the mailbox/mail-catcher for the OTP email.","200 OK ""OTP sent successfully to known@example.com""; a password_reset_otps row is created (old ones for that email replaced); OTP email received.","Registered, known email.","No.",N,Pending,,,Pending,,,Pending,,,
AUTH_IT14,"Forgot password for an unregistered email is rejected (email enumeration)","1. POST /api/auth/forgot-password body {""email"":""unknown@example.com""}.","400 Bad Request; ""Error: Email is not registered in the system.""; no OTP row created.","Email not registered.","No.",A,Pending,,,Pending,,,Pending,,,"Unlike the reference VRMOS sample (which deliberately returns an identical generic success message to avoid user enumeration), HanGo's real behavior DOES reveal whether an email is registered via the different error message/status. Documented as-is, not silently treated as secure — flag to dev if enumeration-resistance is later required."
Verify OTP,,,,,,,,,,,,,,,,
AUTH_IT15,"Verify OTP with the correct, unexpired code succeeds","1. Complete AUTH_IT13 to get a real OTP from the mailbox. 2. POST /api/auth/verify-otp body {""email"":...,""otpCode"":""<real code>""}.","200 OK ""OTP verified successfully""; OTP row is NOT deleted yet (deletion only happens at reset-password).","A fresh OTP exists for the email (from AUTH_IT13).","No.",N,Pending,,,Pending,,,Pending,,,
AUTH_IT16,"Verify OTP with a non-matching code is rejected","1. POST /api/auth/verify-otp body {""email"":...,""otpCode"":""000000""} where no OTP row matches.","400 Bad Request; ""Error: Invalid OTP code.""","None.","No.",A,Pending,,,Pending,,,Pending,,,
AUTH_IT17,"Verify an expired OTP is rejected and the row is deleted","1. Obtain an OTP, wait for it to pass its 5-minute expiry (or seed an expired row directly in DB). 2. POST /api/auth/verify-otp with that code.","400 Bad Request; ""Error: OTP code has expired...""; the OTP row is deleted as a side effect.","An expired OTP row exists.","No.",B,Pending,,,Pending,,,Pending,,,
Reset Password,,,,,,,,,,,,,,,,
AUTH_IT18,"Reset password with a valid verified OTP succeeds","1. Complete AUTH_IT13+AUTH_IT15. 2. POST /api/auth/reset-password body {""email"":...,""otpCode"":...,""newPassword"":""newPass123""}. 3. Log in with the new password.","200 OK ""Password updated successfully""; all OTP rows for that email are deleted; login with the new password (step 3) succeeds.","Valid unexpired OTP exists for the email.","No.",N,Pending,,,Pending,,,Pending,,,
AUTH_IT19,"Reset password for a non-existent user is rejected","1. POST /api/auth/reset-password body with an email that has no user row.","404 Not Found; ""Error: User not found with email: ...""","None.","No.",A,Pending,,,Pending,,,Pending,,,
Verify Account (email link),,,,,,,,,,,,,,,,
AUTH_IT20,"Visiting the verify link with a valid email marks the account verified","1. GET /api/auth/verify?email=pending@example.com (open directly in browser, since it returns HTML).","200 OK; HTML success page rendered; user's isVerified flag becomes true (confirm via AUTH_IT22's check-verification call).","Unverified account exists for that email.","No.",N,Pending,,,Pending,,,Pending,,,
AUTH_IT21,"Visiting the verify link for a non-existent email returns 404","1. GET /api/auth/verify?email=ghost@example.com.","404 Not Found; ""Error: User not found with email: ghost@example.com"".","Email not registered.","No.",A,Pending,,,Pending,,,Pending,,,
Check Verification Status,,,,,,,,,,,,,,,,
AUTH_IT22,"Check-verification returns true for a verified account","1. GET /api/auth/check-verification?email=verified@example.com.","200 OK {""verified"": true}.","Account exists, isVerified=true.","No.",N,Pending,,,Pending,,,Pending,,,
AUTH_IT23,"Check-verification returns false for an unknown or unverified email","1. GET /api/auth/check-verification?email=ghost@example.com (no such user).","200 OK {""verified"": false} — same response whether the account doesn't exist or exists-but-unverified; caller cannot distinguish the two.","None.","No.",B,Pending,,,Pending,,,Pending,,,"Matches unit_test_plan.md's documented behavior — not a bug to report, just a known ambiguity."
Resend Verification Email,,,,,,,,,,,,,,,,
AUTH_IT24,"Resend verification email succeeds for an unverified account","1. POST /api/auth/resend-verification?email=pending2@example.com.","200 OK ""Verification email resent successfully""; email is (re-)dispatched.","Unverified account exists.","No.",N,Pending,,,Pending,,,Pending,,,
AUTH_IT25,"Resend verification is rejected for an already-verified account","1. POST /api/auth/resend-verification?email=verified@example.com.","400 Bad Request; ""Error: Account is already verified.""","Account exists, isVerified=true.","No.",A,Pending,,,Pending,,,Pending,,,
AUTH_IT26,"Resend verification for a non-existent email returns 404","1. POST /api/auth/resend-verification?email=ghost@example.com.","404 Not Found; ""Error: User not found with email: ghost@example.com"".","Email not registered.","No.",A,Pending,,,Pending,,,Pending,,,
