Workflow,Authentication - Registration- Verification & Login Flow
Test requirement,Verify the complete end-to-end identity flow through the actual UI: self-registration, email verification, login/session handling, forgot/reset password via OTP, Google sign-in, and the resulting role-based access boundary - across Learner/Trainer/Course Manager/Administrator.
Number of TCs,18
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,18,0
Round 2,0,0,18,0
Round 3,0,0,18,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Self-Registration & Email Verification,,,,,,,,,,,,,,,
SYS_FLOW_AUTH_TC01,"New user self-registers as Learner, verifies via the emailed link, then logs in successfully.","1. Open the Register screen. 2. Enter a fresh email, full name, and a password meeting the policy (>=8 chars, letters+numbers). 3. Leave Role unselected (defaults to Learner) and submit. 4. Open the verification email received and click the verification link. 5. Return to the app and log in with the same email/password.","1. Registration succeeds; account is created unverified and a verification email is sent. 2. Clicking the link marks the account verified (HTML success page). 3. Login with the verified account succeeds and lands on the Learner home screen with a valid session token stored.","Email not already registered; mailbox reachable.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC02,"Registering with an email that already exists is rejected.","1. Open Register. 2. Enter an email that already belongs to an existing account. 3. Fill the remaining fields and submit.","Registration is blocked; an inline error indicates the email is already in use; no duplicate account is created.","Target email already registered in the system.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC03,"Registering with a password shorter than 8 characters is rejected by client-side and server-side validation.","1. Open Register. 2. Enter a fresh email and a password of fewer than 8 characters (e.g. ""abc123""). 3. Attempt to submit.","Submission is blocked with an inline validation message before any request completes; if bypassed, the server also rejects with a 400-class validation error and no account is created.","Email not already registered.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC04,"An account that has not completed email verification cannot log in.","1. Register a new account and do NOT click the verification link. 2. Attempt to log in with the correct email/password.","Login is blocked with a message indicating the account is not verified; no session token is issued; the user is prompted to verify or resend the email.","A registered but unverified account exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC05,"User resends the verification email and completes verification via the new link.","1. From the unverified-account login-blocked screen, tap ""Resend verification email"". 2. Open the newly received email and click its verification link. 3. Log in again.","1. A new verification email is sent (old link may still work since verification is idempotent by email). 2. The account becomes verified. 3. Login now succeeds.","A registered, unverified account exists; mailbox reachable.",Pending,,,Pending,,,Pending,,,
Login & Session,,,,,,,,,,,,,,,
SYS_FLOW_AUTH_TC06,"A verified user logs in successfully and lands on the role-appropriate home screen.","1. Open Login. 2. Enter a verified, ACTIVE account's email and correct password. 3. Submit.","Login succeeds; the app stores the returned JWT and navigates to the home screen matching the account's role (Learner home / Trainer dashboard / Course Manager dashboard / Admin dashboard).","A verified, ACTIVE account exists for each role to be spot-checked.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC07,"Login with the wrong password is rejected and the account remains usable.","1. Open Login. 2. Enter a valid, verified account's email with an incorrect password. 3. Submit.","Login fails with an inline error (bad credentials); the user remains on the Login screen and can immediately retry with the correct password.","A verified, ACTIVE account exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC08,"A deactivated (status=INACTIVE) account is blocked from logging in even with the correct password.","1. As Admin, set a test account's status to INACTIVE (see ADM flow SYS_FLOW_ADM_TC08). 2. Log out. 3. Attempt to log in as that account with the correct password.","Login is rejected with a ""deactivated"" message; no session token is issued.","Admin access to deactivate an account; target account's correct password is known.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC09,"After the stored session token becomes invalid, the app redirects the user back to Login instead of showing a broken screen.","1. Log in normally. 2. Manually corrupt/clear the stored token (or use an expired token) while staying on an authenticated screen. 3. Trigger any authenticated API call (e.g. pull-to-refresh My Learning).","The client's HTTP interceptor catches the 401 response, clears local session storage, and redirects to the Login screen instead of showing a crash or stale data.","Logged-in session; ability to invalidate the stored token for the test.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC10,"There is no refresh-token/logout endpoint in the current build; a session simply lasts for the lifetime of the single issued JWT.","1. Log in and note the time. 2. Continue using the app past the point a refresh would normally be expected. 3. Observe behavior when the JWT itself finally expires.","No silent refresh occurs (none exists); once the JWT expires the next authenticated call returns 401 and the user is routed back to Login, matching TC09 - re-login is the only recovery path.","Logged-in session.",Pending,,,Pending,,,Pending,,,"Documents current behavior (single JWT, no refresh/logout endpoint) - not a defect to report, see AUDIT_REPORT.md."
Forgot / Reset Password,,,,,,,,,,,,,,,
SYS_FLOW_AUTH_TC11,"Full forgot-password journey: request OTP, verify OTP, reset password, then log in with the new password.","1. On Login, tap ""Forgot password"" and enter a registered email. 2. Open the OTP email and copy the 6-digit code. 3. Enter the OTP on the Verify OTP screen. 4. Enter and confirm a new password on the Reset Password screen and submit. 5. Log in using the new password.","1. OTP email is received. 2. OTP verification succeeds. 3. Password reset succeeds with a confirmation message. 4. Login with the new password succeeds; the old password no longer works.","Registered, verified email; mailbox reachable.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC12,"Entering an incorrect OTP code is rejected and the password is left unchanged.","1. Request a forgot-password OTP for a registered email. 2. On the Verify OTP screen, enter a code that does not match (e.g. ""000000"").","Verification fails with an inline ""invalid OTP"" error; the flow does not advance to Reset Password; the account's password is unchanged.","A forgot-password OTP request is pending for the email.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC13,"Submitting an OTP after it has expired (5 minutes) is rejected and the user must request a new one.","1. Request a forgot-password OTP. 2. Wait past the OTP's 5-minute validity window. 3. Enter the (now expired) code on Verify OTP.","Verification fails with an ""OTP expired"" message; the expired OTP record is invalidated server-side; the user must tap ""Resend OTP"" to get a fresh code before continuing.","A forgot-password OTP was requested more than 5 minutes ago.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC14,"Requesting forgot-password for an email that is NOT registered returns a distinct error rather than a generic success message.","1. On the Forgot Password screen, enter an email with no matching account. 2. Submit.","The request is rejected with an error stating the email is not registered (HTTP 400-class); no OTP email is sent.","Email not registered in the system.",Pending,,,Pending,,,Pending,,,"Documents that HanGo's forgot-password response reveals whether an email exists (no enumeration-resistance), unlike some reference implementations that return an identical generic success message either way. Not a bug to report at System Test level - flag to dev only if enumeration-resistance is later required."
Google Sign-In,,,,,,,,,,,,,,,
SYS_FLOW_AUTH_TC15,"First-time Google sign-in JIT-provisions a new, already-verified Learner account.","1. On Login, tap ""Continue with Google"". 2. Complete the Google account picker/consent for an email that has no existing HanGo account. 3. Observe the resulting screen.","A new account is created automatically (isVerified=true, status=ACTIVE, role=LEARNER) with no separate email-verification step; the app signs the user straight into the Learner home screen with a valid session.","Real or test Google OAuth2 client configured; the chosen Google email has no existing HanGo account.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC16,"Signing in with Google using the same email as an existing local-password account.","1. Register/confirm a local account with email/password for some.email@example.com. 2. Log out. 3. On Login, tap ""Continue with Google"" and complete consent using the same email address.","Google sign-in succeeds and returns the same underlying account/session (matched by email) rather than creating a duplicate; the user lands on the home screen matching that account's existing role.","A verified local-password account exists for the chosen Google email.",Pending,,,Pending,,,Pending,,,
Cross-Role Access Boundary,,,,,,,,,,,,,,,
SYS_FLOW_AUTH_TC17,"A logged-in Learner cannot reach Administrator-only screens.","1. Log in as a LEARNER account. 2. Attempt to navigate directly to the Admin Dashboard route (deep link or manual URL if on web build). 3. If the UI does not block navigation, observe the underlying API calls the page tries to make.","The app either hides/blocks the Admin navigation entirely for a Learner, or the underlying `/api/admin/**` calls fail with 403 Forbidden and the page shows an access-denied state instead of admin data.","LEARNER account logged in; no admin role granted.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_AUTH_TC18,"Selecting role=Trainer at registration grants Trainer Dashboard access immediately, without waiting for an Admin approval step.","1. Register a new account choosing Trainer as the role (or log in as Learner and tap ""Become a Trainer""). 2. Immediately open the Trainer Dashboard.","The Trainer role is granted right away (TrainerProfile is JIT-created with status=PENDING_VERIFICATION); the Trainer Dashboard and Draft-course authoring screens are accessible immediately - only publishing/monetizing a course is gated behind Admin's later profile review (see SYS_FLOW_TRN flow).","Any logged-in account, or a fresh registration.",Pending,,,Pending,,,Pending,,,"Confirms this is documented, intended behavior (GAP-AUTH-04 in unit_test_plan.md), not an approval bypass for revenue - cross-check against SYS_FLOW_TRN_TC01."
