Workflow,Trainer Revenue- Monthly Statement & Settlement Flow
Test requirement,Verify the complete end-to-end revenue journey through the actual UI: course-sale revenue split by Trainer type, on-demand Monthly Statement generation by the Course Manager, Trainer confirmation of the figures, manual bank-transfer settlement, and the separation-of-duties boundary keeping payout figures out of the Administrator's own dashboard.
Number of TCs,14
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,14,0
Round 2,0,0,14,0
Round 3,0,0,14,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Revenue Accrual,,,,,,,,,,,,,,,
SYS_FLOW_REV_TC01,"A course purchase from a PROFESSIONAL-type Trainer's course accrues the correct 70/30 revenue split.","1. Complete a paid-course purchase (SYS_FLOW_ENR_TC11) for a course owned by a Trainer whose TrainerType=PROFESSIONAL. 2. Open that Trainer's Revenue dashboard.","The Trainer's accrued/pending revenue for this sale equals 70% of the course price; the remaining 30% is retained by the platform.","A PROFESSIONAL Trainer owns the purchased course.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_REV_TC02,"A course purchase from a PEER_TUTOR-type Trainer's course accrues the correct 60/40 revenue split.","1. Complete a paid-course purchase for a course owned by a Trainer whose TrainerType=PEER_TUTOR. 2. Open that Trainer's Revenue dashboard.","The Trainer's accrued/pending revenue for this sale equals 60% of the course price; the remaining 40% is retained by the platform.","A PEER_TUTOR Trainer owns the purchased course.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_REV_TC03,"The Trainer Revenue dashboard's pending balance reflects recent unsettled sales.","1. As a Trainer with recent unsettled sales (TC01/TC02), open ""My Revenue"".","The pending balance figure matches the sum of accrued revenue from sales not yet covered by a settled Monthly Statement.","Recent unsettled sales exist for this Trainer.",Pending,,,Pending,,,Pending,,,
Statement Generation,,,,,,,,,,,,,,,
SYS_FLOW_REV_TC04,"Course Manager generates the Monthly Statement cutoff, producing per-Trainer statements for the covered period.","1. Log in as TRAINER_LEAD/COURSE_MANAGER/ADMINISTRATOR. 2. Open Statements > Generate Monthly Cutoff. 3. Confirm generation for the covered period.","A MonthlyStatement record is created for each Trainer who had sales in the period, with the correct revenue-split amount; each affected Trainer receives a StatementReady notification (SYS_FLOW_NTF_TC06).","At least one Trainer has unsettled sales within the period being cut off.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_REV_TC05,"Generating a statement for a Trainer with zero sales in the period is handled sanely.","1. Run the same monthly generation covering a Trainer with no sales in that period.","Document the actual observed behavior: either no statement row is created for that Trainer, or a zero-amount statement is created - either is acceptable as long as it is not a crash or a fabricated non-zero figure.","A Trainer with zero sales in the covered period exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_REV_TC06,"Re-running Generate for an already-covered period does not duplicate or double-count statements.","1. Immediately after TC04 completes, run ""Generate Monthly Cutoff"" again for the same period.","No duplicate MonthlyStatement rows are created for the same Trainer/period; the Trainer's figures are not doubled.","A statement was already generated for this period in TC04.",Pending,,,Pending,,,Pending,,,
Trainer Confirms Statement,,,,,,,,,,,,,,,
SYS_FLOW_REV_TC07,"Trainer views their generated statement and confirms the figures.","1. Log in as the Trainer from TC04. 2. Open My Revenue > Statements, select the newly generated statement. 3. Review the line items and tap Confirm.","The statement's confirmed flag/status updates; the figures shown match the accrued sales from the period; the statement moves toward being eligible for settlement.","A generated statement exists for this Trainer.",Pending,,,Pending,,,Pending,,,
