Feature,Notification
Test requirement,Functional integration tests for Notification (NotificationController + CourseManagerDashboardController's TRAINER_LEAD-only notification pair)
Number of TCs,10
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,10,0
Round 2,0,0,10,0
Round 3,0,0,10,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
View Notifications / Unread Count,,,,,,,,,,,,,,,,
NTF_IT01,"View my paged notification list","1. GET /api/v1/notifications?page=0&size=20.","200 OK; Spring Data Page<NotificationDTO> JSON shape.","Logged in; at least one notification exists for this user/role.","No.",N,Pending,,,Pending,,,Pending,,,
NTF_IT02,"View my unread count","1. GET /api/v1/notifications/unread-count.","200 OK {""count"": <long>}.","Logged in.","No.",N,Pending,,,Pending,,,Pending,,,
Mark (All) as Read,,,,,,,,,,,,,,,,
NTF_IT03,"Mark a single notification as read","1. PUT /api/v1/notifications/{id}/read.","200 OK {""success"":true}; that notification no longer counts toward unread-count.","A notification owned by (or broadcast to) the caller exists, currently unread.","No.",N,Pending,,,Pending,,,Pending,,,
NTF_IT04,"Marking a notification you don't own/aren't a role-member of as read returns 400, not 403/404","1. As User B, PUT /api/v1/notifications/{a per-user notification belonging to User A}/read. 2. 🔍 Network tab → confirm the exact status code.","400 {""error"":...} (caught RuntimeException) — semantically this reads like 'forbidden'/'not found', but the actual status is 400; assert against this real status, not a more RESTful-seeming 403/404.","A per-user notification owned by a different user (A) exists; logged in as B.","Yes — confirm exact status code is 400.",B,Pending,,,Pending,,,Pending,,,
NTF_IT05,"Mark all notifications as read returns the count updated","1. PUT /api/v1/notifications/read-all.","200 OK {""success"":true,""updated"":<int>}; unread-count afterward is 0.","≥1 unread notification exists for the caller.","No.",N,Pending,,,Pending,,,Pending,,,
Shared broadcast state,,,,,,,,,,,,,,,,
NTF_IT06,"Marking a role-broadcast notification as read for one member marks it read for ALL members of that role","1. As TRAINER_LEAD user A, PUT /api/v1/notifications/{a broadcast notification id}/read. 2. Log in as TRAINER_LEAD user B, GET /api/v1/notifications/unread-count.","B's unread-count already excludes that broadcast notification, even though B never called /read themselves — is_read is a single shared flag per broadcast row, not per-recipient.","Two TRAINER_LEAD accounts; a broadcast notification (e.g. LOW_RATING alert) exists for that role.","No.",B,Pending,,,Pending,,,Pending,,,"Documented, expected behavior (not a per-user bug) — report as a known limitation if a tester assumes per-user read-state."
Edge Cases,,,,,,,,,,,,,,,,
NTF_IT07,"A notification whose linked Course was later deleted still returns gracefully","1. Trigger a Course-linked notification, then delete that Course (scratch DB). 2. GET /api/v1/notifications.","200 OK; that notification's courseId/courseTitle are null, but no 500 error occurs.","A Course-linked notification exists, then its Course is deleted.","No.",B,Pending,,,Pending,,,Pending,,,
NTF_IT08,"Confirm the exact JSON shape of the paginated list response","1. GET /api/v1/notifications?page=0&size=5. 2. 🔍 Network tab → Response tab → confirm the body includes Spring Data's full Page fields (content, pageable, totalElements, totalPages, numberOfElements, first, last, empty, sort...), NOT a simplified custom wrapper.","Full Spring Data Page<> shape confirmed — contrast with AdminController.getUsers, which uses a hand-rolled {content,totalElements,totalPages,page,size} shape instead. Testers should not assume one pagination contract app-wide.","Any notifications exist.","Yes — compare this shape against RBAC_IT03/04's shape in the RBAC sheet.",B,Pending,,,Pending,,,Pending,,,
Course-Manager-only Notification Pair,,,,,,,,,,,,,,,,
NTF_IT09,"The Course-Manager notification endpoints are TRAINER_LEAD-only (singular hasRole), rejecting even COURSE_MANAGER/ADMINISTRATOR","1. Log in as a COURSE_MANAGER-only account (not TRAINER_LEAD). 2. GET /api/v1/course-manager/notifications. 3. 🔍 Network tab → confirm 403.","403 Forbidden — @PreAuthorize(hasRole('TRAINER_LEAD')) only, singular, unlike the 3-role hasAnyRole(...) used elsewhere on this same controller for dashboard/review endpoints.","Account whose only authority is COURSE_MANAGER/ADMINISTRATOR (not TRAINER_LEAD).","Yes — confirm 403; contrast with this controller's other endpoints which accept 3 roles.",B,Pending,,,Pending,,,Pending,,,
NTF_IT10,"Marking a Course-Manager notification as read returns a plain-string 404 when not found (different shape from NotificationController's JSON errors)","1. PUT /api/v1/course-manager/notifications/999999999/read (non-existent id). 2. 🔍 Network tab → Response tab → confirm the body is the plain string ""Notification not found"", not a {\"error\":...} JSON object.","404 with a bare string body — different error shape from NotificationController's own {\"error\":...} JSON style, even though both concern 'notifications'.","Logged in as TRAINER_LEAD.","Yes — confirm the raw string body shape.",B,Pending,,,Pending,,,Pending,,,
