Feature,Learning Management
Test requirement,Functional integration tests for Learning Management (LearningPathwayController) — Mark Lesson Complete / quiz-attempt endpoints are covered in itc-sheet-course-content.csv since they live on LessonController
Number of TCs,14
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,14,0
Round 2,0,0,14,0
Round 3,0,0,14,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Generate Learning Pathway,,,,,,,,,,,,,,,,
LRN_IT01,"Generate a learning pathway from a completed exam attempt's weakness analysis","1. Complete an exam attempt (see Exam Management sheet). 2. POST /api/v1/pathways/generate body {""examAttemptId"":<id>,""goalName"":""Improve Reading"",""hoursPerWeek"":5}.","200 OK; LearningPathwayResponseDTO with generated nodes/steps based on the weak SkillTypes found.","Logged in as LEARNER; has a completed exam attempt.","No.",N,Pending,,,Pending,,,Pending,,,
LRN_IT02,"Generating a pathway is rejected for a non-LEARNER role","1. Log in as TRAINER (in Trainer mode, not Learner mode). 2. POST /api/v1/pathways/generate. 3. 🔍 Network tab → confirm 403.","403 Forbidden — hasRole('LEARNER') only.","Logged in as TRAINER.","Yes — confirm 403.",A,Pending,,,Pending,,,Pending,,,
View My / Pathway Detail,,,,,,,,,,,,,,,,
LRN_IT03,"View my current pathway","1. GET /api/v1/pathways/me.","200 OK; LearningPathwayResponseDTO for the caller.","Logged in; a pathway already generated for this learner.","No.",N,Pending,,,Pending,,,Pending,,,
LRN_IT04,"[Needs verification] Viewing another learner's pathway by id may not be ownership-checked","1. As Learner A, generate a pathway, note its id. 2. Log in as Learner B. 3. GET /api/v1/pathways/{A's pathway id}. 4. 🔍 Network tab → confirm the actual status code and whether A's data is returned to B.","Expected secure behavior: 403/404. Confirm what the code actually does — the controller shows no explicit ownership check on this endpoint (unlike reroute/accept, which does check), so this may return A's data to B.","Two Learner accounts, A and B; A has a pathway.","Yes — this is exactly the kind of IDOR only provable by making the cross-account call and reading the real response.",A,Pending,,,Pending,,,Pending,,,"Not previously named in AUDIT_REPORT.md by number — flag to dev if B can see A's pathway."
Reroute Pathway,,,,,,,,,,,,,,,,
LRN_IT05,"Reroute the pathway after a learner falls behind/ahead of schedule","1. PUT /api/v1/pathways/{id}/reroute.","200 OK; LearningPathwayResponseDTO reflecting the rerouted plan.","Logged in as LEARNER, owns the pathway.","No.",N,Pending,,,Pending,,,Pending,,,
LRN_IT06,"Get reroute suggestions for the current pathway state","1. POST /api/v1/pathways/{id}/reroute/suggestions.","200 OK; PathwayRerouteSuggestionDTO{node_type, reroute_reason, can_skip, blocked_reason}.","Logged in as LEARNER, owns the pathway.","No.",N,Pending,,,Pending,,,Pending,,,
LRN_IT07,"Accepting a reroute suggestion for a pathway you don't own is rejected (this endpoint DOES check ownership, unlike LRN_IT04)","1. As Learner A, note pathway id. 2. Log in as Learner B. 3. POST /api/v1/pathways/{A's id}/reroute/accept. 4. 🔍 Network tab → confirm 403.","403 ApiException(""Access denied"") — explicit ownership check (pathway.student.id != caller.id) exists here, contrasting with the plain GET /{id} in LRN_IT04.","Two Learner accounts; A has a pathway.","Yes — contrast this 403 with LRN_IT04's result on the same pair of accounts.",B,Pending,,,Pending,,,Pending,,,
LRN_IT08,"Declining a reroute suggestion is a no-op — the same suggestion resurfaces afterward","1. POST /api/v1/pathways/{id}/reroute/decline. 2. POST /api/v1/pathways/{id}/reroute/suggestions again.","200 OK on decline (just re-fetches the current pathway, nothing persisted); the SAME suggestion is returned again on the next suggestions call — nothing was actually recorded as 'declined'.","Logged in as LEARNER, owns the pathway; a reroute suggestion exists.","No.",B,Pending,,,Pending,,,Pending,,,"Documented finding: decline has no persisted state — useful to demonstrate to stakeholders, not a defect to 'fix' without a product decision."
Pathway Schedule,,,,,,,,,,,,,,,,
LRN_IT09,"Apply a study schedule to the pathway","1. PUT /api/v1/pathways/{id}/schedule body {""goalName"":""..."",""targetDate"":""2026-12-31"",""hoursPerWeek"":5}.","200 OK; LearningPathwayResponseDTO reflecting the applied schedule.","Logged in as LEARNER, owns the pathway.","No.",N,Pending,,,Pending,,,Pending,,,
LRN_IT10,"View the current schedule status","1. GET /api/v1/pathways/{id}/schedule-status.","200 OK; raw {""status"":""<value>""} (hand-built string, not a full DTO).","A schedule was previously applied (LRN_IT09).","No.",N,Pending,,,Pending,,,Pending,,,
Progress Snapshot,,,,,,,,,,,,,,,,
LRN_IT11,"View the per-node progress snapshot","1. GET /api/v1/pathways/{id}/progress-snapshot.","200 OK; ProgressSnapshotDTO with nodes_snapshot[] (snake_case fields); has_weak_skill_overlap is always false (hardcoded, self-documented as not-yet-implemented in the source, not a hidden bug).","Logged in as LEARNER, owns the pathway.","No.",N,Pending,,,Pending,,,Pending,,,
Merge Preview / Confirm,,,,,,,,,,,,,,,,
