Feature,Exam Management
Test requirement,Functional integration tests for Exam Management (ExamController + TrainerDashboardController exam-authoring subset + CourseManagerDashboardController exam-review subset + TrainerExamMatrixController + CourseManagerExamMatrixController + ExamImportController)
Number of TCs,25
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,25,0
Round 2,0,0,25,0
Round 3,0,0,25,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Browse Exam List (Learner, public),,,,,,,,,,,,,,,,
EXM_IT01,"Browse the public exam list with default status=All","1. GET /api/v1/exams with no Authorization header.","200 OK; List<ExamResponseDTO> of PUBLISHED exams.","At least one PUBLISHED exam exists.","No.",N,Pending,,,Pending,,,Pending,,,
EXM_IT02,"[GAP-EXM-02] Requesting status=DRAFT always returns an empty list, even when DRAFT exams exist","1. GET /api/v1/exams?status=DRAFT.","200 OK []; the service queries by the given status but then filters in-memory to keep only status==PUBLISHED — contradictory logic that always yields empty for any non-PUBLISHED value.","At least one DRAFT exam exists (created via EXM_IT09).","No.",A,Pending,,,Pending,,,Pending,,,"GAP-EXM-02, re-confirmed against current ExamService.getAllExams source — this is the CURRENT (buggy) behavior, document as such."
View Exam Questions (take exam),,,,,,,,,,,,,,,,
EXM_IT03,"View an exam's questions without authentication, and confirm no answer leak","1. GET /api/v1/exams/{id}/questions with no Authorization header. 2. 🔍 F12 → Network tab → Response tab → inspect options[] for every question — confirm NO isCorrect/correctAnswer field is present.","200 OK; List<LearnerExamQuestionDTO> — options only expose id/optionText, never isCorrect (by design, unlike the Course-Content answer leaks).","A PUBLISHED exam with questions exists.","Yes — confirm the absence of isCorrect at the wire level, not just by reading LearnerQuestionOptionDTO's source.",N,Pending,,,Pending,,,Pending,,,"Also confirm via GET (no login required at all) whether this public reachability of a whole exam's question bank pre-login is intended (exam preview) or accidental — note either way, don't assume."
My Exam Attempts,,,,,,,,,,,,,,,,
EXM_IT04,"Viewing my exam attempts without authentication is rejected","1. GET /api/v1/exams/my-attempts with no Authorization header.","401 Unauthorized (manual getCurrentUserId()==null check).","None.","No.",A,Pending,,,Pending,,,Pending,,,
EXM_IT05,"View attempts for a specific exam, scoped to the caller","1. GET /api/v1/exams/{id}/attempts with Authorization header.","200 OK; only the CALLER's own attempts for that exam are returned.","Logged in, has at least one attempt on the exam.","No.",N,Pending,,,Pending,,,Pending,,,
Submit Exam Attempt,,,,,,,,,,,,,,,,
EXM_IT06,"[Confirms GAP-EXM-03 is fixed] Submitting a bogus client-side score is ignored — score is recomputed server-side","1. POST /api/v1/exams/{id}/submit body {""score"":10.0,""answers"":{""0"":0,""1"":0,...}} where the actual answers given are ALL wrong. 2. Inspect the returned score field.","200 OK; the returned score is 0 (server-recomputed from correctness), NOT the submitted 10.0 — confirms the client-trusted-score gap is fixed in current code, contradicting a stale note in unit_test_plan.md.","Logged in; exam has questions with known correct answers.","No.",N,Pending,,,Pending,,,Pending,,,"Write this as a REGRESSION-GUARD test (expect the fix to hold) not a bug-reproduction test — current source (ExamService.saveExamAttempt) computes calculatedScore server-side and does not read request.getScore()."
