Feature,Course Content Management
Test requirement,Functional integration tests for Course Content Management (LessonController + SectionQuestionController) — includes the two highest-priority confirmed security gaps in the whole backend (CRIT-02, CRIT-04)
Number of TCs,14
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,14,0
Round 2,0,0,14,0
Round 3,0,0,14,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
View Lesson Detail,,,,,,,,,,,,,,,,
CNT_IT01,"View a lesson's detail without authentication (public route)","1. GET /api/v1/lessons/{id} with no Authorization header.","200 OK; LessonDetailDTO with content, comments[], questions[], isCompleted.","A lesson exists.","No.",N,Pending,,,Pending,,,Pending,,,
CNT_IT02,"[HIGH PRIORITY] Lesson detail leaks the correct-answer index before the learner ever attempts the quiz","1. GET /api/v1/lessons/{id} (before ever submitting a quiz attempt for it). 2. 🔍 F12 → Network tab → Response tab → expand questions[] → look for a correctIndex field on each question.","questions[].correctIndex IS present in the raw JSON, exposing the right answer pre-attempt — this is a genuine answer-leak, verifiable only by reading the actual wire response (a UI that simply doesn't render the field would hide this from casual observation).","A lesson with at least one quiz question exists.","Yes — this finding is ONLY provable by inspecting the raw Network tab JSON, not the rendered page.",A,Pending,,,Pending,,,Pending,,,"Same class of issue as SectionQuestionController's answer exposure (CNT_IT11) — report both together."
Mark Lesson Complete,,,,,,,,,,,,,,,,
CNT_IT03,"Mark own lesson as complete succeeds","1. PUT /api/v1/lessons/{id}/complete?completed=true with Authorization header (userId omitted, resolved from JWT).","200 OK {""message"":""Lesson progress updated successfully""}.","Logged in, enrolled in the course.","No.",N,Pending,,,Pending,,,Pending,,,
CNT_IT04,"[HIGH PRIORITY / CRIT-02] Marking ANOTHER user's lesson complete succeeds by just changing the userId query param","1. Log in as User A, obtain token. 2. PUT /api/v1/lessons/{id}/complete?userId=<User B's id>&completed=true using User A's token (or no token at all). 3. As User B, GET /api/v1/lessons/{id} to confirm B's isCompleted flag actually changed.","200 OK — the request succeeds and mutates User B's progress data even though it was made using User A's identity (or anonymously) — userId is trusted from the query string with no cross-check.","Two distinct user accounts, A and B; a lesson both could plausibly access.","Yes — 🔍 confirm in Network tab whether an Authorization header for A (or none at all) was sent, and that the call still returned 200.",A,Pending,,,Pending,,,Pending,,,"CRIT-02 (AUDIT_REPORT.md). This is the actual exploit, not a hypothetical — do not soften the Expected Result; a 200 here IS the confirmed bug."
Quiz Attempts (Lesson),,,,,,,,,,,,,,,,
CNT_IT05,"[HIGH PRIORITY / CRIT-02] Reading another user's quiz-attempt history requires only their userId, no auth","1. GET /api/v1/lessons/{id}/quiz-attempts?userId=<User B's id> — send with NO Authorization header at all. 2. 🔍 Network tab → Headers tab: confirm no Authorization header was sent → Response tab: confirm the returned data belongs to User B.","200 OK; User B's quiz-attempt history (attemptNumber, state, grade, answers) is returned to a completely anonymous caller.","User B has at least one quiz attempt recorded.","Yes — confirm no Authorization header in Headers tab, and that Response tab shows User B's real data.",A,Pending,,,Pending,,,Pending,,,"CRIT-02 — route is permitAll() and userId is a required-but-unchecked query param."
CNT_IT06,"[HIGH PRIORITY / CRIT-02] Submitting a quiz attempt on behalf of another user succeeds and mutates their data","1. POST /api/v1/lessons/{id}/quiz-attempts?userId=<User B's id> body {""score"":10,""state"":""done"",""answers"":{}} — send with no Authorization header. 2. As User B, GET /api/v1/lessons/{id}/quiz-attempts?userId=<B's id> to confirm the new attempt appears under B's history.","200 OK; a new LessonQuizAttemptDTO is created and attributed to User B, submitted entirely by an unauthenticated caller who merely knew B's id.","User B account exists.","Yes — confirm the anonymous request succeeds and the resulting data is attributed to B.",A,Pending,,,Pending,,,Pending,,,"CRIT-02 — same impersonation pattern as CommentController; report both together as one systemic finding, not two unrelated bugs."
Sections & Question Counts (Trainer authoring, SectionQuestionController),,,,,,,,,,,,,,,,
