Workflow,Lesson Learning- Quiz & Progress Tracking Flow
Test requirement,Verify the complete end-to-end learning journey through the actual UI: sequential Lesson unlocking, Lesson Quiz attempts, progress-percentage tracking, Continue Learning resume, structure-change recalculation, lifetime access, and the access-boundary guards around Lesson content.
Number of TCs,16
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,16,0
Round 2,0,0,16,0
Round 3,0,0,16,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Sequential Lesson Access,,,,,,,,,,,,,,,
SYS_FLOW_LRN_TC01,"A freshly enrolled Learner can open Lesson 1 while later Lessons stay locked.","1. Log in as a Learner freshly enrolled in a multi-lesson course. 2. Open the course's syllabus. 3. Tap Lesson 1, then check Lesson 2/3.","Lesson 1 opens and its content renders; Lesson 2 and later show a locked indicator and are not directly openable.","Learner freshly enrolled, no lessons completed yet.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_LRN_TC02,"Completing Lesson 1 unlocks and auto-navigates to Lesson 2.","1. Open Lesson 1. 2. Tap ""Mark as Completed"".","A `lesson_progresses` completion record is created for Lesson 1; the app auto-navigates to Lesson 2; Lesson 2 is now openable from the syllabus.","Learner is on Lesson 1, not yet completed.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_LRN_TC03,"Deep-linking directly to a Lesson two steps ahead of the Learner's actual progress is blocked.","1. As a Learner who has completed only Lesson 1 (Lesson 2 not yet completed), manually construct/navigate to Lesson 3's route.","Access is blocked (redirect back to the syllabus or an explicit locked message); Lesson 3 content is not rendered.","Learner has completed Lesson 1 only.",Pending,,,Pending,,,Pending,,,"Guards against URL-hacking per doc/specs/10-learning-management.md Technical Constraints."
SYS_FLOW_LRN_TC04,"Skipping or failing a Lesson's Quiz does not block unlocking the next Lesson.","1. Open a Lesson that has an attached Quiz. 2. Either skip the Quiz entirely or take it and answer incorrectly. 3. Tap ""Mark as Completed"" on the Lesson itself.","The Lesson completes and the next Lesson unlocks regardless of the Quiz being skipped or failed - Quiz completion is explicitly not a gating condition (BR-LRN-02).","A Lesson with an attached Quiz exists; Learner has reached it.",Pending,,,Pending,,,Pending,,,
Progress Tracking,,,,,,,,,,,,,,,
SYS_FLOW_LRN_TC05,"My Learning's progress bar reflects completed-lessons / total-lessons accurately as the Learner advances.","1. Note the total Lesson count for a course. 2. Complete lessons one at a time, checking My Learning's progress % after each.","The displayed percentage always equals (lessons completed so far / total lessons in the course version), updating immediately after each completion.","Learner enrolled in a course with a known total Lesson count.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_LRN_TC06,""" Continue Learning"" resumes exactly at the Learner's last accessed/incomplete Lesson.","1. Complete a few lessons, then close/leave the app mid-course. 2. Reopen the app later and tap ""Continue Learning"" on that course from My Learning.","The app opens directly to the first not-yet-completed Lesson (the one right after the last completed one), not back at Lesson 1.","Learner has partially progressed through a course.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_LRN_TC07,"Completing the final Lesson brings the enrollment to 100% / COMPLETED.","1. Complete every remaining Lesson in the course, ending with the last one.","Progress reaches 100%; the Enrollment's status becomes COMPLETED, which is what unlocks the ability to leave a Course Review (see SYS_FLOW_ENR_TC21).","Learner is on the final incomplete Lesson of the course.",Pending,,,Pending,,,Pending,,,
Lesson Quiz Attempts,,,,,,,,,,,,,,,
SYS_FLOW_LRN_TC08,"Learner takes a Lesson Quiz and sees per-question correctness and explanations after submitting.","1. Open a Lesson's attached Quiz. 2. Answer all questions. 3. Submit.","The result screen shows the score plus, per question, whether the Learner's choice was correct and the explanation text.","A Lesson with an attached Quiz exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_LRN_TC09,"Learner can retake the same Lesson Quiz and see prior attempts.","1. After submitting once (TC08), reopen the same Lesson Quiz and take it again with different answers.","A new attempt is recorded without erasing the previous one; the Learner can review earlier attempt(s) if a history view is provided.","A prior Quiz attempt exists from TC08.",Pending,,,Pending,,,Pending,,,
Structure Changes Mid-Course,,,,,,,,,,,,,,,
SYS_FLOW_LRN_TC10,"Adding a Lesson in a newly published course version recalculates an enrolled Learner's progress percentage sanely.","1. As a Learner with partial progress in a course, wait for the Trainer to add a new Lesson and Publish a new version (SYS_FLOW_CRS_TC21-22), then switch to it (SYS_FLOW_ENR_TC22). 2. Reopen My Learning.","The progress percentage recalculates against the new total Lesson count (denominator increases); the value stays within 0-100% - it does not show an impossible number.","A new course version with an added Lesson has been published and the Learner switched to it.",Pending,,,Pending,,,Pending,,,
