Feature,Comment Management
Test requirement,Functional integration tests for Comment Management (CommentController + AdminCommentController) — CommentController has zero auth enforcement, a confirmed high-priority gap
Number of TCs,11
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,11,0
Round 2,0,0,11,0
Round 3,0,0,11,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
View Lesson Comments,,,,,,,,,,,,,,,,
CMT_IT01,"Viewing a lesson's comments without authentication shows only APPROVED comments","1. GET /api/v1/comments/lesson/{lessonId} with no Authorization header.","200 OK; List<CommentDTO> containing only status=APPROVED comments — PENDING/REJECTED comments from any user are hidden when there is no resolvable current user.","Lesson has a mix of APPROVED and PENDING/REJECTED comments.","No.",N,Pending,,,Pending,,,Pending,,,
Add / Update / Delete Comment,,,,,,,,,,,,,,,,
CMT_IT02,"[HIGH PRIORITY GAP] Adding a comment with NO Authorization header succeeds","1. POST /api/v1/comments/lesson/{lessonId}?userId=<any existing user id> body {""content"":""nice lesson""} — send with NO Authorization header at all. 2. 🔍 F12 → Network tab → Headers tab: confirm no Authorization header was sent → Response tab: confirm 200 and the comment is attributed to the supplied userId.","200 OK; a CommentDTO is created and attributed to whatever userId was supplied in the query string — no login required at all. /api/v1/comments/** is permitAll() and this controller has zero @PreAuthorize.","Any existing user id to impersonate.","Yes — confirm no Authorization header sent and 200 returned; this is the exploit itself, not a hypothetical.",A,Pending,,,Pending,,,Pending,,,"CRIT-02-class gap, confirmed 2026-07-25 directly from CommentController source — the code even has a literal comment '// Replace with UserPrincipal from SecurityContext later'."
CMT_IT03,"A comment containing a blacklisted keyword is auto-rejected by the Rule Engine","1. POST a comment whose content contains a known blacklisted word (see CommentRuleEngineService's blacklist).","200 OK; the returned CommentDTO's status is REJECTED (or PENDING for the milder 'suspicious keyword' tier), not APPROVED.","None.","No.",N,Pending,,,Pending,,,Pending,,,"Confirms moderation itself still runs server-side even though the identity layer around it is absent — the content-level gate is not bypassable, only the 'who is posting' layer is."
CMT_IT04,"A comment containing a script tag round-trips without sanitization (no XSS escaping)","1. POST a comment with content ""<script>alert(1)</script>"". 2. GET the lesson's comments (or Admin detail) and inspect the raw content field. 3. 🔍 Network tab → Response tab → confirm the tag is present unescaped, not HTML-entity-encoded.","The content is stored and returned exactly as submitted, unescaped — per doc/specs/13-comment-management.md §5, XSS prevention (output encoding) is not yet implemented server-side; a client that renders this directly as HTML would be vulnerable.","None.","Yes — confirm raw unescaped body in Network tab.",A,Pending,,,Pending,,,Pending,,,"Documented gap, not previously assigned a GAP-ID — flag to dev alongside CMT_IT02."
CMT_IT05,"[HIGH PRIORITY GAP / IDOR] Editing another user's comment succeeds by just supplying their userId, with no auth","1. Note an existing commentId belonging to User A. 2. With NO Authorization header, PUT /api/v1/comments/{that commentId}?userId=<A's id> body {""content"":""edited by impostor""}. 3. Confirm the comment's content actually changed.","200 OK; the comment is updated even though the caller never authenticated — the internal 'own comment only' check inside CommentServiceImpl compares the comment's userId to the attacker-supplied userId param, which is meaningless as a security boundary here.","A comment by User A exists.","Yes — 🔍 confirm no Authorization header was sent and the edit took effect.",A,Pending,,,Pending,,,Pending,,,
CMT_IT06,"[HIGH PRIORITY GAP / IDOR] Deleting another user's comment succeeds with no auth","1. With NO Authorization header, DELETE /api/v1/comments/{User A's commentId}?userId=<A's id>.","204 No Content — the comment is deleted despite no authentication.","A comment by User A exists.","Yes — confirm no Authorization header sent, and 204 returned.",A,Pending,,,Pending,,,Pending,,,
Like / Unlike Comment,,,,,,,,,,,,,,,,
CMT_IT07,"Liking/unliking a comment on behalf of another user succeeds with no auth (same gap pattern)","1. With NO Authorization header, POST /api/v1/comments/{commentId}/like?userId=<any user id>. 2. Repeat with /unlike.","200 OK on both; likeCount changes attributed to the supplied userId, no login required.","A comment exists.","Yes — confirm no Authorization header sent.",A,Pending,,,Pending,,,Pending,,,
