Workflow,Trainer Onboarding & Profile Approval Flow
Test requirement,Verify the full end-to-end Trainer onboarding journey through the actual UI: becoming a Trainer, building and submitting the profile application, Admin review (approve/reject/suspend), resubmission after rejection, and the resulting publishing rights unlocked only after approval.
Number of TCs,16
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,16,0
Round 2,0,0,16,0
Round 3,0,0,16,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Become Trainer & Draft Access,,,,,,,,,,,,,,,
SYS_FLOW_TRN_TC01,"A logged-in Learner becomes a Trainer and immediately gets Trainer Dashboard access.","1. Log in as a LEARNER. 2. From the profile menu, tap ""Become a Trainer"". 3. Open the Trainer Dashboard right after.","The Trainer role is granted immediately; a TrainerProfile is JIT-created with status=PENDING_VERIFICATION; the Trainer Dashboard and Draft-course creation screens are accessible right away, with no wait for Admin approval.","LEARNER account logged in.",Pending,,,Pending,,,Pending,,,"Same underlying behavior verified from the Auth side in SYS_FLOW_AUTH_TC18."
SYS_FLOW_TRN_TC02,"Reopening the Trainer Profile screen for an existing Trainer does not create a duplicate profile.","1. Log in as an account that already has a TrainerProfile (any status). 2. Open ""My Trainer Profile"" twice in the same session (e.g. navigate away and back).","The same existing profile is returned both times (same id/status/fields); no second TrainerProfile row is created.","Account already has a TrainerProfile.",Pending,,,Pending,,,Pending,,,
Build & Submit Trainer Profile,,,,,,,,,,,,,,,
SYS_FLOW_TRN_TC03,"Trainer saves the profile application as a draft without submitting it for review.","1. Open My Trainer Profile. 2. Fill in phone number, national ID, bank details, and choose Trainer type (Professional Teacher or Peer Tutor). 3. Tap ""Save Draft"" (not Submit).","The entered fields are persisted; status remains PENDING_VERIFICATION; the profile does not appear in the Admin review queue yet; the Trainer can reopen and continue editing later.","Trainer role granted, profile status=PENDING_VERIFICATION.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_TRN_TC04,"Submitting the profile for review without any proof document uploaded is blocked.","1. Fill in all required text fields but skip the diploma/certificate upload section. 2. Tap ""Submit for Review"".","Submission is blocked with an inline message requiring at least one proof document; status stays PENDING_VERIFICATION.","Trainer role granted, no proof document uploaded yet.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_TRN_TC05,"Trainer completes all required fields and proof documents, then submits successfully for Admin review.","1. Fill in phone, national ID, bank info, Trainer type. 2. Upload at least one proof document (diploma/certificate) via the Cloudinary-backed uploader. 3. Tap ""Submit for Review"".","Submission succeeds; status changes from PENDING_VERIFICATION to AWAITING_APPROVAL; the profile now appears in the Admin's Trainer Profiles review queue.","Trainer role granted; all required fields + at least one proof document ready.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_TRN_TC06,"A profile already in AWAITING_APPROVAL cannot be re-submitted a second time while pending.","1. With a profile already at status=AWAITING_APPROVAL, reopen My Trainer Profile. 2. Attempt to tap Submit again (if the button is even shown).","The Submit action is disabled/hidden while status=AWAITING_APPROVAL, or a resubmission attempt is rejected with a message that the application is already under review; status does not change.","Profile status=AWAITING_APPROVAL.",Pending,,,Pending,,,Pending,,,
Admin Review,,,,,,,,,,,,,,,
SYS_FLOW_TRN_TC07,"Admin views and filters the Trainer Profiles list by status.","1. Log in as ADMINISTRATOR. 2. Open Admin > Trainer Profiles. 3. Filter by status=AWAITING_APPROVAL.","The list refreshes to show only profiles currently at AWAITING_APPROVAL, including the one submitted in TC05.","Admin logged in; at least one AWAITING_APPROVAL profile exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_TRN_TC08,"Admin opens a pending profile's detail to review documents and bank information.","1. From the Trainer Profiles list, click a profile with status=AWAITING_APPROVAL. 2. Review the displayed phone, national ID, bank details, Trainer type, and proof-document links.","The full profile detail renders, including clickable/viewable Cloudinary document links; Approve and Reject actions are available.","An AWAITING_APPROVAL profile exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_TRN_TC09,"Admin approves a pending Trainer profile.","1. Open an AWAITING_APPROVAL profile's detail. 2. Tap Approve (optionally add a comment). 3. Confirm.","Status changes from AWAITING_APPROVAL to VERIFIED; TrainerType and its RevenueShareRate are set; the Trainer receives a ContentApproved-style in-app notification and an approval email; the profile leaves the pending queue.","An AWAITING_APPROVAL profile exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_TRN_TC10,"Admin rejects a pending Trainer profile with a reason.","1. Open an AWAITING_APPROVAL profile's detail. 2. Tap Reject and enter a rejection reason (e.g. ""Diploma image unreadable""). 3. Confirm.","Status changes from AWAITING_APPROVAL to a rejected state; the reason is recorded and shown to the Trainer on their Application Tracking screen; the Trainer receives an in-app notification and a rejection email containing the reason.","An AWAITING_APPROVAL profile exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_TRN_TC11,"A non-Admin account cannot reach the Trainer Profile review screen or its APIs.","1. Log in as a TRAINER or LEARNER (non-admin). 2. Attempt to navigate to the Admin > Trainer Profiles route directly.","Navigation is blocked/hidden for non-admin roles; if forced via deep link, the underlying `PUT /api/v1/admin/trainer-profiles/{id}/review` and list calls return 403 Forbidden.","Non-admin account logged in.",Pending,,,Pending,,,Pending,,,
Resubmission After Rejection,,,,,,,,,,,,,,,
