Workflow,Lesson Comment- Like & Moderation Flow
Test requirement,Verify the complete end-to-end comment lifecycle through the actual UI: posting on a Lesson/Quiz, the Rule Engine's APPROVED/PENDING/REJECTED outcomes and their visibility rules, edit re-evaluation, reply/like, own-comment management, and Admin moderation (view/approve/reject/delete).
Number of TCs,15
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,15,0
Round 2,0,0,15,0
Round 3,0,0,15,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Post & Moderation Outcomes,,,,,,,,,,,,,,,
SYS_FLOW_CMT_TC01,"Learner posts a clean comment on a Lesson and it is visible immediately to everyone.","1. Log in as Learner A. 2. Open a Lesson. 3. Enter a normal, on-topic comment (e.g. ""Could someone explain the difference between the two tenses used here?"") and submit.","The Rule Engine finds no blacklist/regex match; status=APPROVED; the comment appears in the thread immediately for Learner A and is visible to any other Learner who opens the same Lesson.","Learner A has access to the Lesson.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC02,"A comment containing a phone number or URL is flagged suspicious (PENDING) and hidden from everyone except its author.","1. As Learner A, post a comment containing a phone number or a URL (e.g. ""Contact me at 0912345678 for tutoring"").","The regex pattern check matches; status=PENDING; a neutral toast tells Learner A it is ""awaiting moderation, visible only to you""; the comment is hidden from the public thread but still visible to Learner A when they view it.","Learner A has access to the Lesson.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC03,"A comment containing a blacklisted offensive keyword is REJECTED and hidden even from its own author.","1. As Learner A, post a comment containing a known blacklisted word (per `CommentRuleEngineService.BLACKLIST_KEYWORDS`).","status=REJECTED; an error toast (""violates community guidelines"") is shown at submit time; the comment never appears in the thread again for anyone, including Learner A on reload.","Learner A has access to the Lesson; a known blacklisted keyword is available for the test.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC04,"A different Learner viewing the same Lesson never sees another user's PENDING or REJECTED comments.","1. Log in as Learner B (different account). 2. Open the same Lesson used in TC02/TC03.","Learner B's thread view shows only APPROVED comments (e.g. TC01's) - the PENDING comment from TC02 and the REJECTED comment from TC03 are both absent.","Comments from TC01-TC03 already posted by Learner A.",Pending,,,Pending,,,Pending,,,
Edit Re-evaluation,,,,,,,,,,,,,,,
SYS_FLOW_CMT_TC05,"Editing a REJECTED comment to remove the offending word flips it back to APPROVED automatically.","1. As Learner A, open the REJECTED comment from TC03 (own comments remain editable even when rejected). 2. Edit out the blacklisted word, leaving clean text. 3. Save.","The edit re-runs the same Rule Engine evaluation; with no blacklist/regex match now, status flips to APPROVED and the comment becomes visible in the thread - there is no separate ""resubmit for review"" step.","The REJECTED comment from TC03 exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC06,"Editing a previously clean APPROVED comment to insert a blacklisted word gets it re-evaluated to REJECTED.","1. As Learner A, open the APPROVED comment from TC01. 2. Edit it to insert a blacklisted keyword. 3. Save.","The edit re-runs the Rule Engine on the new text; status changes to REJECTED and the comment disappears from the thread for everyone, including Learner A - confirming a user cannot post clean then sneak in bad content via edit.","The APPROVED comment from TC01 exists.",Pending,,,Pending,,,Pending,,,
Reply & Like,,,,,,,,,,,,,,,
SYS_FLOW_CMT_TC07,"A second Learner replies to the first Learner's comment and the original author is notified.","1. Log in as Learner B. 2. Open an APPROVED root comment (e.g. a freshly re-approved TC01 after TC06 is reverted, or a new clean comment). 3. Reply to it with a clean message.","The reply nests correctly under the root comment (Root -> Reply tree); assuming the reply is APPROVED, Learner A (the root comment's author) receives a CommentReply notification.","An APPROVED root comment from Learner A exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC08,"Learner likes then unlikes a comment, and the like count updates correctly both ways.","1. As Learner B, tap Like on an APPROVED comment. 2. Note the like count. 3. Tap Like again to unlike.","The like count increments by 1 after liking and decrements back to the original value after unliking; the like button's visual state toggles accordingly.","An APPROVED comment exists.",Pending,,,Pending,,,Pending,,,
Own Comment Management,,,,,,,,,,,,,,,
SYS_FLOW_CMT_TC09,"Learner deletes their own comment.","1. As Learner A, open one of their own APPROVED comments. 2. Tap Delete and confirm.","The comment is removed from the thread; it no longer appears on reload for any user.","Learner A owns at least one comment.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC10,"A Learner cannot edit or delete another user's comment.","1. As Learner B, attempt to edit or delete a comment authored by Learner A (via UI action if shown, or by targeting the comment's ID directly).","The edit/delete controls are not shown for a comment Learner B does not own, and if attempted directly, the action is rejected; Learner A's comment remains unchanged.","Learner A owns a comment; Learner B is logged in.",Pending,,,Pending,,,Pending,,,
Admin Moderation,,,,,,,,,,,,,,,
SYS_FLOW_CMT_TC11,"Admin filters the Comment Management queue by PENDING status and finds the flagged comment with full context.","1. Log in as ADMINISTRATOR. 2. Open Comment Management. 3. Filter status=PENDING.","The PENDING comment from TC02 appears in the list with its Course / Lesson-Quiz / Status / Created columns correctly populated.","The PENDING comment from TC02 exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC12,"Admin opens Comment Detail and sees the original text, normalized text, detection reason, status, author, and created time.","1. From the Comment Management list, click View Detail on the PENDING comment from TC02.","The detail dialog shows Original Comment (as typed), Normalized Comment (lowercased/accent-stripped/leetspeak-normalized), Detection Reason (which regex pattern matched), Current Status, Created By, and Created Time.","The PENDING comment from TC02 exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC13,"Admin approves a PENDING comment, making it visible to everyone.","1. From Comment Detail (TC12), tap Approve.","status changes to APPROVED; the comment now appears in the public thread for all users, not just the original author.","The PENDING comment from TC02 exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_CMT_TC14,"Admin deletes a comment (including one it doesn't own) and it is removed for everyone.","1. From Comment Management, select any comment (any status/author). 2. Tap Delete and confirm.","The comment is hard-deleted; it disappears from both the Admin queue and the public Lesson thread.","At least one comment exists.",Pending,,,Pending,,,Pending,,,
Security,,,,,,,,,,,,,,,
SYS_FLOW_CMT_TC15,"Posting a comment containing an HTML/script tag payload is checked for whether it renders as executable content.","1. As a Learner, post a comment whose text is `<script>alert('x')</script>` or `<img src=x onerror=alert(1)>`. 2. If it becomes APPROVED (no blacklist/regex match on this payload), view the thread as another user.","Document the actual observed rendering: the payload should render as inert, escaped plain text, never execute as HTML/JS in another user's browser/app.","Learner has access to a Lesson.",Pending,,,Pending,,,Pending,,,"doc/specs/13-comment-management.md flags XSS sanitization as 'Not yet implemented' - treat this case as a real security probe, not an assumption of safety; report a finding if the script actually executes."
