Workflow,AI-Generated Learning Pathway Flow
Test requirement,Verify the complete end-to-end Learning Pathway journey through the actual UI: generating a roadmap from Exam-based Weakness Analysis, viewing pathway/nodes/schedule/progress, the reroute suggestion accept/decline cycle, multi-course pathway merge, and chatting with the Pathway Mentor.
Number of TCs,16
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,16,0
Round 2,0,0,16,0
Round 3,0,0,16,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Weakness Analysis & Pathway Generation,,,,,,,,,,,,,,,
SYS_FLOW_PWY_TC01,"After an Exam attempt reveals weak SkillTypes, the Learner generates a new Learning Pathway.","1. Log in as a Learner who has at least one completed Exam attempt with some incorrect answers (SYS_FLOW_EXM_TC13). 2. Open the Learning Pathway section. 3. Tap ""Generate Pathway"".","A roadmap is generated, built from the AI analysis of the Learner's weak SkillTypes derived from the recent Exam attempt; the pathway contains an ordered sequence of recommended lessons/courses targeting those weaknesses.","At least one completed Exam attempt with identifiable weak SkillTypes.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC02,"Generating a Pathway with no prior Exam attempts shows an appropriate empty/insufficient-data state instead of a broken roadmap.","1. Log in as a Learner with zero Exam attempts. 2. Open Learning Pathway and tap ""Generate Pathway"".","The app shows a friendly empty-state message explaining that an Exam attempt is needed first (or an equivalent minimum-data message), rather than generating a nonsensical/empty roadmap or crashing.","Learner has no Exam attempts.",Pending,,,Pending,,,Pending,,,
View Pathway & Nodes,,,,,,,,,,,,,,,
SYS_FLOW_PWY_TC03,"Learner views their Pathway detail with its ordered nodes.","1. Open the Pathway generated in TC01.","The pathway detail renders an ordered list of nodes (lessons/courses), each showing its target SkillType and current status.","A generated Pathway exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC04,"Learner views their list of pathways if more than one has been generated over time.","1. Generate a second Pathway on a later date (or after a different Exam). 2. Open ""My Pathways"".","Both pathways are listed, distinguishable (e.g. by creation date/target course), each opening its own correct detail.","Learner has generated 2 pathways at different times.",Pending,,,Pending,,,Pending,,,
Ownership Boundary,,,,,,,,,,,,,,,
SYS_FLOW_PWY_TC05,"A different Learner cannot view another Learner's Pathway detail by guessing/reusing its ID.","1. Log in as Learner B. 2. Note Learner A's pathway ID from TC03 (or guess a sequential nearby ID). 3. Attempt to open that pathway detail directly (e.g. via deep link) as Learner B.","Access is blocked - Learner B either cannot navigate there at all, or the API returns 403/404 rather than Learner A's pathway content.","Two separate Learner accounts, one with an existing Pathway.",Pending,,,Pending,,,Pending,,,"Cross-check against the itc-sheet-learning.csv note on a possible ownership gap on the `/{id}` pathway-detail endpoint - if data leaks, report as a real finding, not an assumption."
Schedule & Progress,,,,,,,,,,,,,,,
SYS_FLOW_PWY_TC06,"Learner applies a study schedule (timeboxing) to their Pathway.","1. Open the Pathway. 2. Tap ""Apply Schedule"" and choose a study cadence (e.g. daily/weekly target).","A dated schedule is generated mapping pathway nodes to target dates/timeslots; the schedule is saved and retrievable.","A generated Pathway exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC07,"Learner views the applied schedule as a calendar/list of dated study tasks.","1. Open the Pathway's Schedule view.","Each pathway node shows its assigned date/timeslot from TC06; the view stays consistent after navigating away and back.","A schedule was applied in TC06.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC08,"Learner views a per-node progress snapshot reflecting real completion status.","1. Complete the Lesson/course tied to the Pathway's first node (SYS_FLOW_LRN flow). 2. Reopen the Pathway's progress snapshot.","The first node's status updates to reflect completion (e.g. completed/in-progress/not-started per node), matching the Learner's real lesson-completion state.","A Pathway exists with at least one node tied to a real Lesson/course the Learner can complete.",Pending,,,Pending,,,Pending,,,
Reroute (Suggestions / Accept / Decline),,,,,,,,,,,,,,,
SYS_FLOW_PWY_TC09,"A reroute suggestion is surfaced when a pathway node proves too hard or too easy based on quiz performance.","1. Perform poorly (or very well) on the Quiz tied to a pathway node's lesson. 2. Reopen the Pathway.","A reroute suggestion appears, proposing an adjustment to upcoming nodes (e.g. inserting an easier prerequisite, or skipping ahead) based on the observed performance.","A pathway node's associated Quiz has been attempted with a clearly poor or clearly strong result.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC10,"Learner accepts a reroute suggestion and the pathway nodes update accordingly.","1. Open the reroute suggestion from TC09. 2. Tap Accept.","The pathway's node sequence updates to match the accepted suggestion; the change is reflected immediately in the pathway detail view.","A pending reroute suggestion exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC11,"Learner declines a reroute suggestion and the pathway remains unchanged.","1. Trigger another reroute suggestion (repeat TC09's setup on a different node). 2. Tap Decline.","The pathway's node sequence stays exactly as it was; the declined suggestion is dismissed and does not reappear identically on next load.","A pending reroute suggestion exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC12,"A pathway rerouted 3 or more times gets flagged for manual Course Manager review with a Report link surfaced to the Learner.","1. Accept reroute suggestions (TC10) three separate times on the same pathway.","After the 3rd reroute, the pathway is flagged for manual Course Manager review; the Learner's UI surfaces a ""Report bad roadmap"" feedback link.","A pathway has already been rerouted twice.",Pending,,,Pending,,,Pending,,,"Per doc/specs/11-recommendation.md Edge Cases - confirm the >=3 threshold and the review flag actually exist in the running build before asserting Pass."
Merge,,,,,,,,,,,,,,,
SYS_FLOW_PWY_TC13,"Learner with pathways for multiple courses requests a merge preview.","1. As a Learner with 2 separate course-specific pathways (TC04). 2. Tap ""Merge Pathways"" and select both. 3. Review the merge preview.","A combined preview is generated showing how the two pathways' nodes would be interleaved/combined; nothing is committed yet at the preview stage.","Learner has 2 separate pathways for different courses.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC14,"Learner confirms the merge and a single combined pathway replaces the separate ones.","1. From the merge preview in TC13, tap Confirm.","A single merged pathway is created/activated; opening ""My Pathways"" reflects the new combined state (exact behavior for the 2 prior separate pathways - archived vs deleted - should be observed and recorded).","A merge preview from TC13 is active.",Pending,,,Pending,,,Pending,,,
Chat with Pathway Mentor,,,,,,,,,,,,,,,
SYS_FLOW_PWY_TC15,"Learner asks the Pathway Mentor an on-topic question about their own roadmap.","1. Open the Pathway Mentor chat from within the Pathway detail screen. 2. Ask ""Why was this lesson recommended to me?"" or similar.","The Mentor responds with a relevant, roadmap-aware answer referencing the Learner's actual weak SkillType(s)/pathway context, rendered with Markdown formatting.","A generated Pathway exists; Gemini AI service reachable.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_PWY_TC16,"Learner asks the Pathway Mentor an off-topic, non-educational question and receives the guardrail response instead of general chit-chat.","1. In the same Mentor chat, ask something unrelated to learning (e.g. ""Tell me a joke about politics"").","The Mentor declines with a friendly educational-only guardrail message rather than answering the off-topic request; the response does not leak the underlying system prompt.","Pathway Mentor chat session open.",Pending,,,Pending,,,Pending,,,
