Feature,Trainer Onboarding
Test requirement,Functional integration tests for Trainer Onboarding (TrainerOnboardingController)
Number of TCs,13
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,13,0
Round 2,0,0,13,0
Round 3,0,0,13,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Become Trainer,,,,,,,,,,,,,,,,
TRN_IT01,"Become trainer grants the TRAINER role immediately, no approval gate","1. Log in as a LEARNER. 2. POST /api/v1/trainers/become-trainer?trainerType=PROFESSIONAL. 3. GET /api/v1/users/me to confirm roles[] now includes TRAINER.","200 OK; LoginResponse with a fresh token whose roles include TRAINER — access is immediate, not gated by Admin review.","Logged in as LEARNER.","No.",N,Pending,,,Pending,,,Pending,,,"Confirms BR-TRN-01 as revised 2026-07-17 — dashboard access is immediate; only publishing/monetization is gated later (see Course Management sheet)."
TRN_IT02,"Become trainer without authentication is rejected","1. POST /api/v1/trainers/become-trainer with no Authorization header.","401/403 — route requires isAuthenticated().","None.","No.",A,Pending,,,Pending,,,Pending,,,
View Own Trainer Profile,,,,,,,,,,,,,,,,
TRN_IT03,"Viewing own trainer profile for the first time JIT-creates a default profile row","1. As a freshly-promoted Trainer (TRN_IT01), GET /api/v1/trainers/profile.","200 OK; TrainerProfileDTO returned with status=PENDING_VERIFICATION even though no PUT was ever called — created just-in-time.","Logged in as TRAINER with no prior profile.","No.",N,Pending,,,Pending,,,Pending,,,
TRN_IT04,"Viewing trainer profile is rejected for a plain LEARNER (not TRAINER/ADMIN/TRAINER_LEAD)","1. Log in as LEARNER (never promoted). 2. GET /api/v1/trainers/profile. 3. 🔍 Network tab → confirm 403.","403 Forbidden.","Logged in as LEARNER only.","Yes — confirm 403 in Network tab.",A,Pending,,,Pending,,,Pending,,,
Save Trainer Profile Draft,,,,,,,,,,,,,,,,
TRN_IT05,"Saving a profile draft persists fields without submitting for review","1. PUT /api/v1/trainers/profile body {""bio"":""..."",""workplace"":""...""}. 2. GET /api/v1/trainers/profile to confirm.","200 OK; TrainerProfileDTO reflects the saved fields; status remains PENDING_VERIFICATION (not moved to review).","Logged in as TRAINER.","No.",N,Pending,,,Pending,,,Pending,,,
Submit Trainer Profile for Review,,,,,,,,,,,,,,,,
TRN_IT06,"Submitting the profile moves it toward the review queue","1. POST /api/v1/trainers/profile/submit body (full TrainerProfileDTO). 2. As Admin, GET /api/v1/admin/trainer-profiles?status=AWAITING_APPROVAL to confirm it appears.","200 OK; profile status moves from PENDING_VERIFICATION toward AWAITING_APPROVAL; appears in the Admin review list.","Logged in as TRAINER with a saved draft.","No.",N,Pending,,,Pending,,,Pending,,,"Verify actual enum values against real code before asserting an exact string — do not assume Draft/Submitted naming from the doc's prose."
View Trainer Profiles List (Admin),,,,,,,,,,,,,,,,
