Workflow,Exam Authoring- Matrix Generation- Review & Taking Flow
Test requirement,Verify the complete end-to-end Exam lifecycle through the actual UI: Trainer/Course Manager authoring (manual, matrix auto-generate, Excel import), the review/publish workflow, and the Learner-side timed exam-taking, submission, scoring, and attempt history experience - including the known answers-echo gap.
Number of TCs,22
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,22,0
Round 2,0,0,22,0
Round 3,0,0,22,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Exam Authoring,,,,,,,,,,,,,,,
SYS_FLOW_EXM_TC01,"Trainer creates a new Exam and manually authors Exam-specific questions.","1. Log in as a VERIFIED Trainer. 2. Open Exam Builder > Create Exam. 3. Enter the Exam title. 4. Manually author single-choice questions one by one until reaching the fixed 40-question requirement.","The Exam is created in a Draft-like state; each authored question is private to this Exam (Visibility=Private, scoped to this ExamVersion) and is not shared with or pulled from the reusable Question Bank used by Course Quizzes.","Trainer role, VERIFIED profile.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC02,"Trainer/Course Manager builds an Exam using the criteria-based Exam Matrix auto-generator.","1. Open Exam Matrix builder. 2. Define criteria (SkillType/Difficulty distribution) targeting the fixed 40-question format. 3. Tap ""Generate"".","The matrix auto-selects/creates questions matching the requested distribution and assembles a complete 40-question Exam; the Trainer can review the generated set before saving.","Trainer or Course Manager role.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC03,"Trainer bulk-imports an Exam and its questions via the Exam Excel template.","1. Download `Hango_Exam_Import_Template.xlsx`. 2. Fill in 40 valid single-choice questions. 3. Upload via ""Import Exam from Excel"".","The import succeeds and creates the Exam with all imported questions attached, scoped privately to this Exam; a success report is shown.","Trainer role; a filled copy of the template ready.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC04,"The system enforces the fixed 40-question / 50-minute / scale-of-10 format and rejects a non-conforming Exam at save/submit-for-review time.","1. Author or import an Exam with fewer than 40 questions (e.g. 35). 2. Attempt to Submit it for review / Publish.","The action is blocked with a validation message stating the Exam must have exactly 40 questions; duration and scoring scale are not editable per-exam (fixed at 50 min / scale of 10).","An in-progress Exam with an incomplete question count exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC05,"Trainer saves an in-progress Exam as Draft before submitting for review.","1. Author a complete 40-question Exam. 2. Save without submitting.","The Exam persists in a Draft/unpublished state, editable, and does not yet appear in the Learner-facing public Exam list.","A complete 40-question Exam exists.",Pending,,,Pending,,,Pending,,,
Review & Publish,,,,,,,,,,,,,,,
SYS_FLOW_EXM_TC06,"Trainer submits a complete Exam for Course Manager review.","1. Open the Draft Exam from TC05. 2. Tap ""Submit for Review"".","The Exam moves into the Course Manager's Exams-for-review queue; it remains hidden from the public Exam list until published.","A complete Draft Exam owned by a Trainer.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC07,"Course Manager approves and publishes a Trainer's submitted Exam.","1. Log in as TRAINER_LEAD/COURSE_MANAGER. 2. Open Exams for Review, select the Exam from TC06. 3. Tap Publish.","The Exam becomes published/visible in the Learner-facing Exam list; the Trainer receives a ContentApproved notification.","A submitted Exam exists in the review queue.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC08,"Course Manager rejects a Trainer's submitted Exam with a reason.","1. Open a different submitted Exam in the review queue. 2. Reject it with a reason (e.g. ""Question 12 has two correct answers"").","The Exam returns to Draft/rejected state, visible only to the Trainer with the reason attached; the Trainer receives a ContentRejected notification.","A different submitted Exam exists.",Pending,,,Pending,,,Pending,,,
