Feature,AI Assistant
Test requirement,Functional integration tests for AI Assistant (AIAssistantController)
Number of TCs,7
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,7,0
Round 2,0,0,7,0
Round 3,0,0,7,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Send Message,,,,,,,,,,,,,,,,
AI_IT01,"Send an in-scope question about the lesson content and receive a helpful reply","1. POST /api/v1/ai-assistant/messages body {""lessonId"":<id>,""message"":""Explain present continuous tense""} with Authorization header.","200 OK; SendMessageResponse{conversationId, reply, wasOutOfScope:false, suggestedQuestions[]}.","Logged in as LEARNER; lesson exists and relates to the question topic.","No.",N,Pending,,,Pending,,,Pending,,,
AI_IT02,"Send an out-of-scope question and receive the fallback response, not a real AI answer","1. POST the same endpoint with message=""What's the weather today?"" (unrelated to the lesson).","200 OK; wasOutOfScope:true; reply is the pre-built fallback message, not a live AI-generated answer.","Logged in as LEARNER.","No.",B,Pending,,,Pending,,,Pending,,,
AI_IT03,"[Confirms the service-layer guard] Sending a message without authentication is rejected via a 401, despite the route being permitAll at the filter level","1. POST /api/v1/ai-assistant/messages with NO Authorization header. 2. 🔍 Network tab → confirm status 401, and note that SecurityConfig's own '.authenticated()' rule for this exact path is unreachable (first-match-wins on the broader /api/v1/ai-assistant/** permitAll matcher) — the 401 you see comes from AIAssistantService's own explicit check, not the filter chain.","401 (via AIAssistantService throwing ApiException when learnerId==null) — defense-in-depth saves this one endpoint despite the dead security-config rule.","None.","Yes — confirm 401 status; this is the one endpoint on this controller where the outcome is still secure despite the config bug.",A,Pending,,,Pending,,,Pending,,,
AI_IT04,"Sending a second message with the same conversationId continues the same conversation","1. Send a first message, note the returned conversationId. 2. Send a second message with that same conversationId in the body.","200 OK; both messages appear under the same conversation when later viewed via AI_IT05/AI_IT06.","Logged in as LEARNER; a prior message already sent.","No.",N,Pending,,,Pending,,,Pending,,,
View Conversation History,,,,,,,,,,,,,,,,
AI_IT05,"[HIGH PRIORITY GAP] Viewing conversation history with NO Authorization header still succeeds","1. GET /api/v1/ai-assistant/conversations with NO Authorization header. 2. 🔍 F12 → Network tab → Headers tab: confirm no Authorization header was sent → Response tab: confirm the actual status code returned.","200 OK (likely an empty or even non-empty list, depending on how learnerId==null is handled downstream) — unlike sendMessage, getConversationHistory has NO equivalent service-layer guard, so this endpoint is genuinely unauthenticated-reachable.","None.","Yes — this is the key DevTools-provable finding for this module; confirm the exact status code (expected secure behavior: 401, actual: likely 200).",A,Pending,,,Pending,,,Pending,,,"Root cause: /api/v1/ai-assistant/** is permitAll() in SecurityConfig, and the more-specific '.authenticated()' rule for this exact path never fires due to Spring's first-match-wins matcher ordering — a real config bug, not just a missing check."
Check AI Service Status,,,,,,,,,,,,,,,,
AI_IT06,"Check AI service health/status, no authentication needed","1. GET /api/v1/ai-assistant/status with no Authorization header.","200 OK; AiHealthResponse{available, message, chatModel, embeddingModel}.","None — Gemini API reachable from the server.","No.",N,Pending,,,Pending,,,Pending,,,
Validation,,,,,,,,,,,,,,,,
AI_IT07,"Sending a message over 500 characters is rejected by validation","1. POST /api/v1/ai-assistant/messages body {""lessonId"":<id>,""message"":""<a string longer than 500 characters>""}.","400 Bad Request (bean validation, @Size max=500); no AI call made.","Logged in as LEARNER.","No.",B,Pending,,,Pending,,,Pending,,,
