Feature,Profile Management
Test requirement,Functional integration tests for Profile Management (UserController + AuthController avatar)
Number of TCs,12
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,12,0
Round 2,0,0,12,0
Round 3,0,0,12,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
View Own Profile,,,,,,,,,,,,,,,,
PROF_IT01,"View own profile succeeds when logged in","1. Log in, get token. 2. GET /api/v1/users/me header Authorization: Bearer <token>.","200 OK; UserResponse body with id, email, fullName, roles[] etc.","Logged-in user.","No.",N,Pending,,,Pending,,,Pending,,,
PROF_IT02,"View own profile without a token is rejected","1. GET /api/v1/users/me with no Authorization header. 2. 🔍 F12/Postman Console → confirm no Authorization header was actually sent, and check the exact status code returned.","401/403 (filter-chain rejection before the controller's own null-check runs); no profile data returned.","None.","Yes — confirm exact status code (401 vs 403) since several HanGo controllers are inconsistent about which one they return.",A,Pending,,,Pending,,,Pending,,,
Update Own Profile,,,,,,,,,,,,,,,,
PROF_IT03,"Update own profile with valid data succeeds","1. PUT /api/v1/users/me body {""fullName"":""Updated Name"",""phoneNumber"":""0900000000""}.","200 OK; UserResponse reflects the new fullName/phoneNumber.","Logged-in user.","No.",N,Pending,,,Pending,,,Pending,,,
PROF_IT04,"Update own profile with an invalid email and empty fullName currently succeeds (GAP-PROF-03)","1. PUT /api/v1/users/me body {""email"":""not-an-email"",""fullName"":""""}. 2. GET /api/v1/users/me to confirm the garbage values were actually persisted.","200 OK is returned and the garbage email/empty fullName ARE persisted — ProfileUpdateRequest has no @NotBlank/@Email validation annotations, so @Valid is a no-op here.","Logged-in user.","No.",A,Pending,,,Pending,,,Pending,,,"GAP-PROF-03 (doc/specs/02-profile-management.md, unit_test_plan.md). Expected Result documents the CURRENT (buggy) behavior — the secure/correct behavior would be a 400 validation error. Do not mark this Failed just because it 'shouldn't' succeed — mark Failed only if behavior differs from what's described here."
PROF_IT05,"Update-profile error responses are plain strings, not JSON","1. PUT /api/v1/users/me with a payload that triggers a 404/400 path (e.g. malformed request causing an exception). 2. 🔍 Network tab → Response tab → confirm Content-Type and raw body: is it a plain string ""Error: ..."" or a JSON object?","Body is a plain string (""Error: ...""), not a {\"error\":...} JSON object — differs from change-password's error shape on the same controller.","Logged-in user.","Yes — confirm raw response body shape in Network tab.",B,Pending,,,Pending,,,Pending,,,
Change Password,,,,,,,,,,,,,,,,
PROF_IT06,"Change password with correct current password succeeds","1. PUT /api/v1/users/change-password body {""currentPassword"":""<real password>"",""newPassword"":""newPass123""}. 2. Log in with the new password.","200 OK {""message"":""Password changed successfully!""}; subsequent login with the new password succeeds.","Logged-in user, knows current password.","No.",N,Pending,,,Pending,,,Pending,,,
PROF_IT07,"Change password with wrong current password is rejected","1. PUT /api/v1/users/change-password body {""currentPassword"":""wrong"",""newPassword"":""newPass123""}.","400/404 {""error"":...} indicating the current password is incorrect; password not changed.","Logged-in user.","No.",A,Pending,,,Pending,,,Pending,,,
PROF_IT08,"Change password with new password shorter than 8 chars is rejected","1. PUT /api/v1/users/change-password body {""currentPassword"":""<real>"",""newPassword"":""abc""}.","400 Bad Request (bean validation, @Size min=8); password not changed.","Logged-in user.","No.",B,Pending,,,Pending,,,Pending,,,
PROF_IT09,"Change password without authentication is rejected","1. PUT /api/v1/users/change-password with no Authorization header.","401/403; no password change occurs.","None.","No.",A,Pending,,,Pending,,,Pending,,,
Upload Avatar,,,,,,,,,,,,,,,,
PROF_IT10,"Upload avatar succeeds for an allowed role (LEARNER/TRAINER/ADMINISTRATOR/TRAINER_LEAD)","1. POST /api/auth/profile/avatar multipart form-data key file=<image.jpg>, header Authorization: Bearer <token>.","200 OK; UserResponse.avatarUrl updated to a Cloudinary URL.","Logged-in user with one of the 4 allowed roles.","No.",N,Pending,,,Pending,,,Pending,,,
PROF_IT11,"Upload avatar is rejected for a role not in the whitelist (e.g. plain COURSE_MANAGER authority without TRAINER_LEAD)","1. Log in as a user whose only authority is COURSE_MANAGER (not TRAINER_LEAD). 2. POST /api/auth/profile/avatar with a file. 3. 🔍 Network tab → confirm status 403.","403 Forbidden — @PreAuthorize lists hasRole('LEARNER')/('TRAINER')/('ADMINISTRATOR')/('TRAINER_LEAD') only; a bare COURSE_MANAGER authority is not included.","A test account whose only authority is COURSE_MANAGER (not TRAINER_LEAD).","Yes — confirm 403 in Network tab, and confirm which authority string the account actually carries (JWT payload or /users/me roles[]).",B,Pending,,,Pending,,,Pending,,,"Worth confirming which role string real Course-Manager accounts are actually granted in this system before treating this as a bug — see HanGo_Documentation.md §2 TRAINER_LEAD/COURSE_MANAGER note."
Learning Profile Aggregation (spec vs. implementation),,,,,,,,,,,,,,,,
PROF_IT12,"GET /api/v1/users/me/learning-profile does not exist","1. GET /api/v1/users/me/learning-profile with a valid token.","404 Not Found (no such mapping in UserController) — FR-PROF-04's learning-profile aggregation is not implemented, unlike what the spec narrative implies.","Logged-in user.","No.",A,Pending,,,Pending,,,Pending,,,"Spec-vs-implementation mismatch (unit_test_plan.md row 16), not a regression to fix — record as N/A if the endpoint is later added under a different path."
